,id_venta,cliente_id,producto,cantidad,precio_unitario,region,fecha,metodo_pago,descuento,total,nombre,edad,tipo_cliente,categoria_venta
113,114,1019,Teléfono,4,1611.88,Centro,2025-02-18 00:28:17.173770,Tarjeta,0.26,4771.1648000000005,Cliente_19,19,Regular,Alta
114,115,1177,Tablet,1,1934.98,Sur,2025-05-03 00:28:17.173774,Transferencia,0.11,1722.1322,Cliente_177,39,Premium,Alta
115,116,1100,Mouse,9,544.51,Oeste,2025-03-13 00:28:17.173778,Efectivo,0.17,4067.4897,Cliente_100,32,Regular,Alta
116,117,1140,Mouse,7,994.7,Centro,2024-06-28 00:28:17.173781,Tarjeta,0.19,5639.9490000000005,Cliente_140,52,Regular,Alta
117,118,1189,Laptop,7,181.37,Oeste,2024-12-19 00:28:17.173786,Transferencia,0.12,1117.2392000000002,Cliente_189,28,Premium,Alta
118,119,1147,Laptop,3,1122.68,Oeste,2024-12-01 00:28:17.173789,Efectivo,0.27,2458.6692,Cliente_147,43,Premium,Alta
119,120,1076,USB,3,1010.54,Oeste,2025-06-10 00:28:17.173793,Tarjeta,0.11,2698.1418,Cliente_76,43,Regular,Alta
120,121,1009,Teclado,1,297.43,Sur,2025-03-12 00:28:17.173797,Tarjeta,0.04,285.5328,Cliente_9,36,Regular,Baja
121,122,1199,Laptop,3,889.71,Centro,2025-02-27 00:28:17.173802,Efectivo,0.04,2562.3648,Cliente_199,20,Regular,Alta
122,123,1028,Laptop,3,674.87,Norte,2024-08-24 00:28:17.173806,Transferencia,0.27,1477.9653,Cliente_28,39,Regular,Alta
123,124,1128,Laptop,4,1048.44,Norte,2025-03-23 00:28:17.173810,Transferencia,0.3,2935.632,Cliente_128,50,Regular,Alta
124,125,1052,USB,4,1175.45,Sur,2025-01-31 00:28:17.173814,Transferencia,0.09,4278.638,Cliente_52,67,Regular,Alta
125,126,1083,Teclado,3,26.91,Sur,2025-03-06 00:28:17.173817,Tarjeta,0.04,77.5008,Cliente_83,65,Regular,Baja
126,127,1111,Tablet,8,1524.4,Oeste,2025-01-12 00:28:17.173821,Tarjeta,0.14,10487.872,Cliente_111,28,Premium,Alta
127,128,1144,Tablet,8,1428.9,Centro,2025-05-02 00:28:17.173825,Transferencia,0.21,9030.648,Cliente_144,20,Premium,Alta
128,129,1117,Impresora,1,738.91,Centro,2025-06-21 00:28:17.173829,Tarjeta,0.18,605.9062,Cliente_117,50,Regular,Media
129,130,1069,Impresora,7,115.34,Este,2025-04-17 00:28:17.173834,Tarjeta,0.29,573.2398,Cliente_69,21,Regular,Media
130,131,1099,Laptop,2,1512.32,Este,2024-10-21 00:28:17.173859,Efectivo,0.25,2268.48,Cliente_99,46,Regular,Alta
131,132,1140,Impresora,1,1910.8,Norte,2025-02-06 00:28:17.173867,Transferencia,0.26,1413.992,Cliente_140,52,Regular,Alta
132,133,1025,Teclado,3,487.9,Este,2024-08-20 00:28:17.173874,Transferencia,0.16,1229.5079999999998,Cliente_25,38,Regular,Alta
133,134,1180,USB,4,653.81,Este,2024-07-07 00:28:17.173881,Transferencia,0.1,2353.716,Cliente_180,59,Premium,Alta
134,135,1123,Tablet,6,375.79,Norte,2024-09-10 00:28:17.173888,Tarjeta,0.21,1781.2446000000002,Cliente_123,24,Regular,Alta
135,136,1053,Mouse,5,1158.1,Norte,2025-04-19 00:28:17.173895,Tarjeta,0.13,5037.735,Cliente_53,26,Regular,Alta
136,137,1151,Tablet,4,318.13,Este,2024-07-12 00:28:17.173904,Tarjeta,0.09,1157.9932,Cliente_151,26,Regular,Alta
137,138,1144,Tablet,8,718.83,Centro,2024-08-03 00:28:17.173911,Transferencia,0.05,5463.108,Cliente_144,20,Premium,Alta
138,139,1057,Teclado,4,1397.06,Este,2025-01-20 00:28:17.173915,Tarjeta,0.16,4694.1216,Cliente_57,45,Premium,Alta
139,140,1039,Impresora,2,1124.63,Oeste,2025-03-29 00:28:17.173919,Transferencia,0.18,1844.3932,Cliente_39,61,Regular,Alta
140,141,1109,Mouse,3,779.06,Oeste,2025-05-22 00:28:17.173922,Tarjeta,0.17,1939.8594,Cliente_109,25,Regular,Alta
141,142,1181,Teclado,6,846.3,Oeste,2025-04-17 00:28:17.173926,Transferencia,0.03,4925.465999999999,Cliente_181,62,Regular,Alta
142,143,1042,Laptop,8,1128.6,Sur,2024-12-19 00:28:17.173930,Efectivo,0.17,7493.903999999999,Cliente_42,54,Regular,Alta
143,144,1186,USB,8,21.67,Oeste,2024-12-14 00:28:17.173934,Tarjeta,0.05,164.692,Cliente_186,61,Premium,Baja
144,145,1167,Monitor,9,166.23,Centro,2024-11-23 00:28:17.173938,Transferencia,0.2,1196.856,Cliente_167,56,Regular,Alta
145,146,1142,Tablet,7,1763.7,Sur,2025-03-28 00:28:17.173942,Efectivo,0.13,10740.933,Cliente_142,64,Premium,Alta
146,147,1122,Monitor,2,164.98,Sur,2024-07-08 00:28:17.173946,Efectivo,0.25,247.47,Cliente_122,45,Premium,Baja
147,148,1133,USB,8,1416.54,Oeste,2025-03-08 00:28:17.173950,Tarjeta,0.23,8725.8864,Cliente_133,52,Regular,Alta
148,149,1163,USB,7,1840.88,Este,2024-10-27 00:28:17.173953,Transferencia,0.22,10051.2048,Cliente_163,21,Premium,Alta
149,150,1075,Teclado,8,548.66,Norte,2024-11-20 00:28:17.173958,Tarjeta,0.21,3467.5312,Cliente_75,35,Regular,Alta
150,151,1146,Teclado,3,747.28,Este,2024-12-29 00:28:17.173962,Efectivo,0.17,1860.7272,Cliente_146,22,Premium,Alta
151,152,1076,Teclado,7,1142.15,Este,2025-05-02 00:28:17.173966,Tarjeta,0.02,7835.149000000001,Cliente_76,43,Regular,Alta
152,153,1009,Monitor,9,1764.6,Sur,2024-07-29 00:28:17.173970,Transferencia,0.2,12705.12,Cliente_9,36,Regular,Alta
153,154,1074,Teclado,3,1884.39,Sur,2025-05-06 00:28:17.173974,Efectivo,0.14,4861.7262,Cliente_74,46,Regular,Alta
154,155,1186,USB,6,1481.73,Sur,2025-03-02 00:28:17.173978,Tarjeta,0.14,7645.7268,Cliente_186,61,Premium,Alta
155,156,1145,Laptop,2,182.37,Centro,2025-03-21 00:28:17.173982,Tarjeta,0.11,324.6186,Cliente_145,18,Regular,Alta
156,157,1007,Teclado,2,1341.62,Centro,2025-05-30 00:28:17.173985,Tarjeta,0.28,1931.9328,Cliente_7,38,Premium,Alta
157,158,1174,Teléfono,5,826.5,Norte,2025-02-12 00:28:17.173989,Tarjeta,0.07,3843.225,Cliente_174,49,Regular,Alta
158,159,1141,Impresora,5,946.69,Sur,2024-12-27 00:28:17.173993,Tarjeta,0.09,4307.4395,Cliente_141,54,Regular,Alta
159,160,1168,Monitor,7,107.81,Oeste,2025-01-30 00:28:17.173997,Efectivo,0.29,535.8157,Cliente_168,62,Regular,Media
160,161,1170,Teléfono,2,390.21,Sur,2024-06-25 00:28:17.174001,Efectivo,0.24,593.1192,Cliente_170,60,Regular,Media
161,162,1137,Teclado,7,1583.12,Centro,2024-12-08 00:28:17.174005,Transferencia,0.0,11081.84,Cliente_137,44,Regular,Alta
162,163,1178,USB,5,913.38,Sur,2024-08-03 00:28:17.174009,Tarjeta,0.27,3333.8369999999995,Cliente_178,45,Regular,Alta
163,164,1027,Laptop,6,610.31,Centro,2025-04-01 00:28:17.174013,Transferencia,0.07,3405.5298,Cliente_27,29,Regular,Alta
164,165,1122,Tablet,8,774.2,Sur,2025-01-18 00:28:17.174017,Efectivo,0.21,4892.944,Cliente_122,45,Premium,Alta
165,166,1194,Mouse,4,1710.26,Oeste,2025-03-31 00:28:17.174020,Tarjeta,0.17,5678.0632,Cliente_194,18,Premium,Alta
166,167,1005,Impresora,7,1500.51,Norte,2024-10-14 00:28:17.174024,Transferencia,0.16,8822.9988,Cliente_5,60,Premium,Alta
167,168,1029,Mouse,6,551.91,Oeste,2025-04-13 00:28:17.174028,Tarjeta,0.22,2582.9388,Cliente_29,61,Premium,Alta
168,169,1165,Teclado,2,243.83,Centro,2024-11-13 00:28:17.174032,Tarjeta,0.06,458.4004,Cliente_165,54,Regular,Alta
169,170,1166,Impresora,8,511.48,Este,2024-09-21 00:28:17.174036,Transferencia,0.05,3887.248,Cliente_166,40,Regular,Alta
170,171,1083,Impresora,9,1842.31,Oeste,2024-09-14 00:28:17.174040,Efectivo,0.2,13264.632,Cliente_83,65,Regular,Alta
171,172,1136,Laptop,5,1167.36,Sur,2024-10-03 00:28:17.174044,Transferencia,0.09,5311.487999999999,Cliente_136,39,Premium,Alta
172,173,1109,Impresora,4,1071.63,Norte,2024-10-21 00:28:17.174048,Transferencia,0.29,3043.4292,Cliente_109,25,Regular,Alta
173,174,1065,Monitor,6,1196.82,Sur,2024-07-18 00:28:17.174052,Transferencia,0.14,6175.5912,Cliente_65,34,Regular,Alta
174,175,1086,Teléfono,8,738.4,Sur,2025-04-24 00:28:17.174056,Tarjeta,0.03,5729.984,Cliente_86,31,Premium,Alta
175,176,1145,Teléfono,3,1616.14,Oeste,2024-10-08 00:28:17.174061,Efectivo,0.21,3830.2518,Cliente_145,18,Regular,Alta
176,177,1071,Teléfono,1,1051.34,Norte,2025-06-17 00:28:17.174065,Efectivo,0.09,956.7194,Cliente_71,23,Regular,Media
177,178,1045,Monitor,4,242.33,Este,2024-12-18 00:28:17.174069,Tarjeta,0.04,930.5472,Cliente_45,38,Regular,Media
178,179,1132,Mouse,4,266.84,Sur,2025-06-20 00:28:17.174072,Efectivo,0.13,928.6032,Cliente_132,54,Premium,Media
179,180,1036,Laptop,1,1078.35,Norte,2024-11-05 00:28:17.174076,Transferencia,0.29,765.6284999999999,Cliente_36,32,Regular,Media
180,181,1070,Impresora,9,1873.77,Este,2025-02-11 00:28:17.174080,Efectivo,0.12,14840.2584,Cliente_70,19,Regular,Alta
181,182,1159,Monitor,3,623.62,Sur,2025-02-19 00:28:17.174084,Tarjeta,0.1,1683.774,Cliente_159,56,Premium,Alta
182,183,1019,Teléfono,5,1740.39,Norte,2025-06-09 00:28:17.174088,Efectivo,0.13,7570.696500000001,Cliente_19,19,Regular,Alta
183,184,1189,Teclado,6,1530.55,Oeste,2025-06-11 00:28:17.174092,Tarjeta,0.0,9183.3,Cliente_189,28,Premium,Alta
184,185,1108,Tablet,8,503.15,Sur,2025-02-26 00:28:17.174095,Transferencia,0.04,3864.192,Cliente_108,61,Regular,Alta
185,186,1182,Impresora,6,82.32,Sur,2024-10-27 00:28:17.174099,Tarjeta,0.25,370.44,Cliente_182,23,Regular,Alta
186,187,1167,Monitor,3,212.68,Norte,2024-10-04 00:28:17.174103,Efectivo,0.29,453.0084,Cliente_167,56,Regular,Alta
187,188,1091,USB,6,1459.7,Sur,2024-06-29 00:28:17.174107,Transferencia,0.05,8320.29,Cliente_91,62,Regular,Alta
188,189,1090,Monitor,1,407.34,Este,2025-06-18 00:28:17.174111,Efectivo,0.16,342.1656,Cliente_90,33,Regular,Alta
189,190,1019,Laptop,4,748.83,Sur,2024-08-08 00:28:17.174115,Tarjeta,0.29,2126.6772,Cliente_19,19,Regular,Alta
190,191,1039,Laptop,6,1008.38,Centro,2024-11-05 00:28:17.174119,Transferencia,0.05,5747.766,Cliente_39,61,Regular,Alta
191,192,1126,Monitor,7,1453.68,Este,2025-05-25 00:28:17.174123,Tarjeta,0.06,9565.2144,Cliente_126,29,Regular,Alta
192,193,1195,Teléfono,3,235.33,Norte,2025-06-02 00:28:17.174127,Efectivo,0.28,508.3128,Cliente_195,44,Regular,Media
