id_venta,cliente_id,producto,cantidad,precio_unitario,region,fecha,metodo_pago,descuento,total
38,1128,Teclado,6,120.17,Sur,2024-08-07 00:28:17.173451,Tarjeta,0.27,526.3446
39,1160,Tablet,8,1080.86,Sur,2025-03-10 00:28:17.173455,Efectivo,0.23,6658.097599999999
40,1084,Mouse,7,150.39,Centro,2024-09-07 00:28:17.173459,Transferencia,0.29,747.4383
41,1152,Monitor,3,1868.73,Oeste,2024-07-18 00:28:17.173463,Efectivo,0.29,3980.3949000000002
42,1140,Laptop,8,1535.04,Norte,2025-03-28 00:28:17.173468,Tarjeta,0.07,11420.6976
43,1178,Teclado,2,1319.32,Oeste,2024-12-14 00:28:17.173472,Efectivo,0.22,2058.1392
44,1163,Tablet,9,1649.55,Oeste,2025-01-22 00:28:17.173476,Efectivo,0.16,12470.597999999998
45,1124,Monitor,4,1298.56,Sur,2024-08-17 00:28:17.173480,Efectivo,0.06,4882.585599999999
46,1033,Impresora,1,1938.2,Oeste,2025-02-07 00:28:17.173485,Efectivo,0.06,1821.908
47,1161,Impresora,8,1430.78,Norte,2024-09-24 00:28:17.173489,Transferencia,0.02,11217.3152
48,1189,Monitor,7,1850.07,Norte,2025-01-26 00:28:17.173493,Tarjeta,0.24,9842.3724
49,1179,Monitor,5,1039.09,Este,2024-12-18 00:28:17.173497,Tarjeta,0.1,4675.905
50,1171,Monitor,5,242.96,Centro,2025-02-03 00:28:17.173501,Tarjeta,0.26,898.952
51,1101,Mouse,7,1061.07,Oeste,2025-02-13 00:28:17.173505,Efectivo,0.18,6090.5418
52,1012,Monitor,5,262.48,Centro,2025-06-20 00:28:17.173508,Tarjeta,0.2,1049.92
53,1067,Teclado,8,1189.06,Centro,2024-10-04 00:28:17.173512,Transferencia,0.09,8656.3568
54,1065,Tablet,6,970.16,Centro,2025-05-29 00:28:17.173517,Efectivo,0.14,5006.0256
55,1161,Mouse,5,1248.93,Centro,2025-05-31 00:28:17.173521,Efectivo,0.12,5495.292
56,1168,Monitor,9,29.99,Norte,2024-10-01 00:28:17.173525,Tarjeta,0.07,251.01629999999994
57,1074,Teléfono,2,397.73,Oeste,2024-11-07 00:28:17.173529,Efectivo,0.25,596.595
58,1043,USB,1,987.75,Este,2024-09-28 00:28:17.173533,Efectivo,0.19,800.0775000000001
59,1044,Teléfono,8,1901.5,Centro,2025-02-19 00:28:17.173537,Tarjeta,0.01,15059.88
60,1029,Tablet,3,773.38,Este,2025-01-03 00:28:17.173542,Transferencia,0.25,1740.105
61,1141,Impresora,7,854.5,Norte,2024-11-02 00:28:17.173545,Transferencia,0.03,5802.055
62,1012,Laptop,8,1432.25,Norte,2024-09-02 00:28:17.173549,Tarjeta,0.12,10083.04
63,1095,Laptop,6,1211.55,Sur,2024-09-22 00:28:17.173553,Transferencia,0.17,6033.518999999999
64,1046,USB,9,604.86,Centro,2025-04-09 00:28:17.173557,Transferencia,0.0,5443.74
65,1130,Impresora,7,827.52,Sur,2024-08-20 00:28:17.173561,Transferencia,0.2,4634.112
66,1035,Mouse,5,443.22,Este,2024-11-22 00:28:17.173574,Efectivo,0.2,1772.8800000000003
67,1081,Mouse,8,1932.38,Oeste,2025-01-17 00:28:17.173579,Efectivo,0.2,12367.232000000002
68,1090,Mouse,2,269.96,Sur,2024-08-26 00:28:17.173583,Efectivo,0.05,512.924
69,1008,Laptop,7,749.96,Norte,2024-12-02 00:28:17.173587,Transferencia,0.08,4829.7424
70,1093,Teléfono,4,61.42,Centro,2025-01-26 00:28:17.173591,Efectivo,0.07,228.48239999999998
71,1154,Laptop,9,451.34,Este,2025-04-10 00:28:17.173595,Transferencia,0.29,2884.0625999999997
72,1090,Teclado,1,1563.14,Norte,2024-11-07 00:28:17.173599,Tarjeta,0.02,1531.8772000000001
73,1162,Monitor,7,410.34,Oeste,2024-08-24 00:28:17.173603,Transferencia,0.13,2498.9705999999996
74,1115,Mouse,6,169.33,Centro,2025-04-23 00:28:17.173607,Efectivo,0.26,751.8252
75,1105,Teléfono,8,954.16,Oeste,2025-04-27 00:28:17.173611,Transferencia,0.23,5877.6256
76,1135,Tablet,5,29.84,Oeste,2024-09-23 00:28:17.173615,Efectivo,0.25,111.89999999999999
77,1196,USB,1,178.68,Centro,2025-03-08 00:28:17.173619,Efectivo,0.29,126.8628
78,1058,Tablet,1,1617.18,Centro,2024-12-19 00:28:17.173623,Tarjeta,0.12,1423.1184
79,1114,Monitor,9,1545.23,Oeste,2024-11-07 00:28:17.173627,Tarjeta,0.09,12655.4337
80,1075,Teléfono,6,1831.13,Este,2025-05-07 00:28:17.173631,Efectivo,0.01,10876.9122
81,1157,Laptop,5,1710.49,Centro,2024-08-09 00:28:17.173635,Transferencia,0.05,8124.8275
82,1120,Laptop,1,1369.52,Norte,2024-09-29 00:28:17.173639,Tarjeta,0.17,1136.7015999999999
83,1164,Teclado,6,114.14,Sur,2024-11-21 00:28:17.173643,Tarjeta,0.05,650.598
84,1021,Teclado,6,1567.87,Este,2024-09-07 00:28:17.173647,Efectivo,0.22,7337.6316
85,1164,Laptop,3,1692.57,Centro,2024-10-13 00:28:17.173651,Transferencia,0.01,5026.9329
86,1138,Tablet,8,1600.17,Centro,2024-07-01 00:28:17.173655,Tarjeta,0.08,11777.2512
87,1101,USB,1,1021.87,Este,2025-03-29 00:28:17.173659,Tarjeta,0.21,807.2773000000001
88,1152,Mouse,1,473.47,Sur,2024-12-25 00:28:17.173663,Transferencia,0.08,435.59240000000005
89,1192,Tablet,6,1692.21,Oeste,2025-05-30 00:28:17.173667,Tarjeta,0.22,7919.5428
90,1177,USB,1,1457.05,Norte,2024-11-14 00:28:17.173671,Transferencia,0.3,1019.935
91,1099,Teclado,6,1961.71,Centro,2025-05-06 00:28:17.173675,Efectivo,0.24,8945.3976
92,1036,Monitor,1,319.83,Sur,2024-07-25 00:28:17.173679,Tarjeta,0.1,287.847
93,1096,USB,6,459.07,Norte,2024-12-31 00:28:17.173684,Efectivo,0.27,2010.7266
94,1152,Laptop,3,431.48,Este,2024-08-17 00:28:17.173689,Transferencia,0.02,1268.5512
95,1151,Teclado,8,1587.15,Centro,2024-09-23 00:28:17.173693,Efectivo,0.22,9903.816
96,1190,Teclado,6,381.95,Oeste,2025-05-20 00:28:17.173697,Efectivo,0.01,2268.783
97,1037,Mouse,1,142.65,Este,2024-11-19 00:28:17.173701,Efectivo,0.05,135.5175
98,1012,Laptop,5,1997.14,Centro,2024-11-27 00:28:17.173705,Transferencia,0.3,6989.99
99,1113,Mouse,8,59.39,Sur,2025-01-15 00:28:17.173709,Transferencia,0.11,422.8568
100,1183,Laptop,3,1672.14,Norte,2025-06-17 00:28:17.173713,Transferencia,0.25,3762.315
101,1013,Mouse,6,737.08,Norte,2024-09-28 00:28:17.173717,Transferencia,0.11,3936.0072000000005
102,1023,USB,5,1684.81,Centro,2025-02-18 00:28:17.173721,Transferencia,0.25,6318.037499999999
103,1099,Tablet,6,1113.69,Este,2024-08-03 00:28:17.173725,Tarjeta,0.29,4744.3194
104,1105,Monitor,1,1804.25,Oeste,2024-07-03 00:28:17.173729,Tarjeta,0.13,1569.6975
105,1030,Monitor,7,1853.12,Sur,2025-03-26 00:28:17.173733,Tarjeta,0.17,10766.627199999999
106,1017,Laptop,9,28.11,Centro,2025-05-13 00:28:17.173737,Efectivo,0.19,204.92190000000002
107,1113,Teléfono,2,160.07,Sur,2025-01-16 00:28:17.173741,Efectivo,0.28,230.50079999999997
108,1062,Impresora,5,508.21,Norte,2024-12-04 00:28:17.173745,Transferencia,0.08,2337.766
109,1084,Teclado,4,1341.94,Oeste,2024-09-15 00:28:17.173749,Transferencia,0.18,4401.5632000000005
110,1112,Teclado,6,1777.66,Sur,2024-07-27 00:28:17.173754,Tarjeta,0.1,9599.364000000001
111,1086,Laptop,6,925.28,Centro,2024-09-09 00:28:17.173758,Transferencia,0.07,5163.0624
112,1141,USB,2,1217.88,Oeste,2025-03-25 00:28:17.173762,Efectivo,0.03,2362.6872000000003
113,1187,Mouse,2,385.11,Este,2025-02-19 00:28:17.173766,Transferencia,0.19,623.8782000000001
114,1019,Teléfono,4,1611.88,Centro,2025-02-18 00:28:17.173770,Tarjeta,0.26,4771.1648000000005
115,1177,Tablet,1,1934.98,Sur,2025-05-03 00:28:17.173774,Transferencia,0.11,1722.1322
116,1100,Mouse,9,544.51,Oeste,2025-03-13 00:28:17.173778,Efectivo,0.17,4067.4897
117,1140,Mouse,7,994.7,Centro,2024-06-28 00:28:17.173781,Tarjeta,0.19,5639.9490000000005
118,1189,Laptop,7,181.37,Oeste,2024-12-19 00:28:17.173786,Transferencia,0.12,1117.2392000000002
119,1147,Laptop,3,1122.68,Oeste,2024-12-01 00:28:17.173789,Efectivo,0.27,2458.6692
120,1076,USB,3,1010.54,Oeste,2025-06-10 00:28:17.173793,Tarjeta,0.11,2698.1418
121,1009,Teclado,1,297.43,Sur,2025-03-12 00:28:17.173797,Tarjeta,0.04,285.5328
122,1199,Laptop,3,889.71,Centro,2025-02-27 00:28:17.173802,Efectivo,0.04,2562.3648
123,1028,Laptop,3,674.87,Norte,2024-08-24 00:28:17.173806,Transferencia,0.27,1477.9653
124,1128,Laptop,4,1048.44,Norte,2025-03-23 00:28:17.173810,Transferencia,0.3,2935.632
125,1052,USB,4,1175.45,Sur,2025-01-31 00:28:17.173814,Transferencia,0.09,4278.638
126,1083,Teclado,3,26.91,Sur,2025-03-06 00:28:17.173817,Tarjeta,0.04,77.5008
127,1111,Tablet,8,1524.4,Oeste,2025-01-12 00:28:17.173821,Tarjeta,0.14,10487.872000000001
128,1144,Tablet,8,1428.9,Centro,2025-05-02 00:28:17.173825,Transferencia,0.21,9030.648000000001
129,1117,Impresora,1,738.91,Centro,2025-06-21 00:28:17.173829,Tarjeta,0.18,605.9062
130,1069,Impresora,7,115.34,Este,2025-04-17 00:28:17.173834,Tarjeta,0.29,573.2398
131,1099,Laptop,2,1512.32,Este,2024-10-21 00:28:17.173859,Efectivo,0.25,2268.48
132,1140,Impresora,1,1910.8,Norte,2025-02-06 00:28:17.173867,Transferencia,0.26,1413.992
133,1025,Teclado,3,487.9,Este,2024-08-20 00:28:17.173874,Transferencia,0.16,1229.5079999999998
134,1180,USB,4,653.81,Este,2024-07-07 00:28:17.173881,Transferencia,0.1,2353.716
135,1123,Tablet,6,375.79,Norte,2024-09-10 00:28:17.173888,Tarjeta,0.21,1781.2446000000002
136,1053,Mouse,5,1158.1,Norte,2025-04-19 00:28:17.173895,Tarjeta,0.13,5037.735
137,1151,Tablet,4,318.13,Este,2024-07-12 00:28:17.173904,Tarjeta,0.09,1157.9932000000001
138,1144,Tablet,8,718.83,Centro,2024-08-03 00:28:17.173911,Transferencia,0.05,5463.108
139,1057,Teclado,4,1397.06,Este,2025-01-20 00:28:17.173915,Tarjeta,0.16,4694.1215999999995
140,1039,Impresora,2,1124.63,Oeste,2025-03-29 00:28:17.173919,Transferencia,0.18,1844.3932000000002
141,1109,Mouse,3,779.06,Oeste,2025-05-22 00:28:17.173922,Tarjeta,0.17,1939.8593999999998
142,1181,Teclado,6,846.3,Oeste,2025-04-17 00:28:17.173926,Transferencia,0.03,4925.465999999999
143,1042,Laptop,8,1128.6,Sur,2024-12-19 00:28:17.173930,Efectivo,0.17,7493.903999999999
144,1186,USB,8,21.67,Oeste,2024-12-14 00:28:17.173934,Tarjeta,0.05,164.692
145,1167,Monitor,9,166.23,Centro,2024-11-23 00:28:17.173938,Transferencia,0.2,1196.856
146,1142,Tablet,7,1763.7,Sur,2025-03-28 00:28:17.173942,Efectivo,0.13,10740.932999999999
147,1122,Monitor,2,164.98,Sur,2024-07-08 00:28:17.173946,Efectivo,0.25,247.46999999999997
148,1133,USB,8,1416.54,Oeste,2025-03-08 00:28:17.173950,Tarjeta,0.23,8725.8864
149,1163,USB,7,1840.88,Este,2024-10-27 00:28:17.173953,Transferencia,0.22,10051.2048
150,1075,Teclado,8,548.66,Norte,2024-11-20 00:28:17.173958,Tarjeta,0.21,3467.5312
151,1146,Teclado,3,747.28,Este,2024-12-29 00:28:17.173962,Efectivo,0.17,1860.7272
152,1076,Teclado,7,1142.15,Este,2025-05-02 00:28:17.173966,Tarjeta,0.02,7835.149000000001
153,1009,Monitor,9,1764.6,Sur,2024-07-29 00:28:17.173970,Transferencia,0.2,12705.12
154,1074,Teclado,3,1884.39,Sur,2025-05-06 00:28:17.173974,Efectivo,0.14,4861.7262
155,1186,USB,6,1481.73,Sur,2025-03-02 00:28:17.173978,Tarjeta,0.14,7645.7268
156,1145,Laptop,2,182.37,Centro,2025-03-21 00:28:17.173982,Tarjeta,0.11,324.6186
157,1007,Teclado,2,1341.62,Centro,2025-05-30 00:28:17.173985,Tarjeta,0.28,1931.9327999999998
158,1174,Teléfono,5,826.5,Norte,2025-02-12 00:28:17.173989,Tarjeta,0.07,3843.225
159,1141,Impresora,5,946.69,Sur,2024-12-27 00:28:17.173993,Tarjeta,0.09,4307.4395
160,1168,Monitor,7,107.81,Oeste,2025-01-30 00:28:17.173997,Efectivo,0.29,535.8157
161,1170,Teléfono,2,390.21,Sur,2024-06-25 00:28:17.174001,Efectivo,0.24,593.1192
162,1137,Teclado,7,1583.12,Centro,2024-12-08 00:28:17.174005,Transferencia,0.0,11081.84
163,1178,USB,5,913.38,Sur,2024-08-03 00:28:17.174009,Tarjeta,0.27,3333.8369999999995
164,1027,Laptop,6,610.31,Centro,2025-04-01 00:28:17.174013,Transferencia,0.07,3405.5297999999993
165,1122,Tablet,8,774.2,Sur,2025-01-18 00:28:17.174017,Efectivo,0.21,4892.944
166,1194,Mouse,4,1710.26,Oeste,2025-03-31 00:28:17.174020,Tarjeta,0.17,5678.0632
167,1005,Impresora,7,1500.51,Norte,2024-10-14 00:28:17.174024,Transferencia,0.16,8822.9988
168,1029,Mouse,6,551.91,Oeste,2025-04-13 00:28:17.174028,Tarjeta,0.22,2582.9388
169,1165,Teclado,2,243.83,Centro,2024-11-13 00:28:17.174032,Tarjeta,0.06,458.4004
170,1166,Impresora,8,511.48,Este,2024-09-21 00:28:17.174036,Transferencia,0.05,3887.248
171,1083,Impresora,9,1842.31,Oeste,2024-09-14 00:28:17.174040,Efectivo,0.2,13264.632000000001
172,1136,Laptop,5,1167.36,Sur,2024-10-03 00:28:17.174044,Transferencia,0.09,5311.487999999999
173,1109,Impresora,4,1071.63,Norte,2024-10-21 00:28:17.174048,Transferencia,0.29,3043.4292
174,1065,Monitor,6,1196.82,Sur,2024-07-18 00:28:17.174052,Transferencia,0.14,6175.5912
175,1086,Teléfono,8,738.4,Sur,2025-04-24 00:28:17.174056,Tarjeta,0.03,5729.9839999999995
176,1145,Teléfono,3,1616.14,Oeste,2024-10-08 00:28:17.174061,Efectivo,0.21,3830.2518
177,1071,Teléfono,1,1051.34,Norte,2025-06-17 00:28:17.174065,Efectivo,0.09,956.7194
178,1045,Monitor,4,242.33,Este,2024-12-18 00:28:17.174069,Tarjeta,0.04,930.5472
179,1132,Mouse,4,266.84,Sur,2025-06-20 00:28:17.174072,Efectivo,0.13,928.6031999999999
180,1036,Laptop,1,1078.35,Norte,2024-11-05 00:28:17.174076,Transferencia,0.29,765.6284999999999
181,1070,Impresora,9,1873.77,Este,2025-02-11 00:28:17.174080,Efectivo,0.12,14840.2584
182,1159,Monitor,3,623.62,Sur,2025-02-19 00:28:17.174084,Tarjeta,0.1,1683.7740000000001
183,1019,Teléfono,5,1740.39,Norte,2025-06-09 00:28:17.174088,Efectivo,0.13,7570.696500000001
184,1189,Teclado,6,1530.55,Oeste,2025-06-11 00:28:17.174092,Tarjeta,0.0,9183.3
185,1108,Tablet,8,503.15,Sur,2025-02-26 00:28:17.174095,Transferencia,0.04,3864.1919999999996
186,1182,Impresora,6,82.32,Sur,2024-10-27 00:28:17.174099,Tarjeta,0.25,370.43999999999994
187,1167,Monitor,3,212.68,Norte,2024-10-04 00:28:17.174103,Efectivo,0.29,453.00839999999994
188,1091,USB,6,1459.7,Sur,2024-06-29 00:28:17.174107,Transferencia,0.05,8320.29
189,1090,Monitor,1,407.34,Este,2025-06-18 00:28:17.174111,Efectivo,0.16,342.1656
190,1019,Laptop,4,748.83,Sur,2024-08-08 00:28:17.174115,Tarjeta,0.29,2126.6772
191,1039,Laptop,6,1008.38,Centro,2024-11-05 00:28:17.174119,Transferencia,0.05,5747.766
192,1126,Monitor,7,1453.68,Este,2025-05-25 00:28:17.174123,Tarjeta,0.06,9565.214399999999
193,1195,Teléfono,3,235.33,Norte,2025-06-02 00:28:17.174127,Efectivo,0.28,508.3128
194,1173,Tablet,9,818.67,Este,2025-01-19 00:28:17.174130,Tarjeta,0.21,5820.7437
195,1141,Impresora,7,975.3,Centro,2025-02-26 00:28:17.174134,Efectivo,0.05,6485.744999999999
196,1126,Laptop,1,1086.25,Centro,2024-07-19 00:28:17.174138,Efectivo,0.12,955.9
197,1058,Impresora,2,1638.54,Sur,2024-12-13 00:28:17.174142,Transferencia,0.02,3211.5384
198,1148,Teléfono,1,351.64,Sur,2024-07-13 00:28:17.174146,Transferencia,0.13,305.9268
199,1200,Impresora,9,1617.58,Oeste,2024-12-11 00:28:17.174150,Tarjeta,0.23,11209.8294
200,1061,Teclado,9,1388.83,Este,2025-01-07 00:28:17.174154,Efectivo,0.17,10374.560099999999
201,1127,Laptop,7,1116.18,Oeste,2024-10-28 00:28:17.174158,Efectivo,0.19,6328.740600000001
202,1105,Teléfono,3,1402.06,Centro,2024-06-27 00:28:17.174162,Transferencia,0.1,3785.5620000000004
203,1167,Teléfono,5,829.92,Sur,2024-10-23 00:28:17.174166,Transferencia,0.05,3942.1199999999994
204,1001,Tablet,4,285.41,Sur,2025-04-16 00:28:17.174170,Transferencia,0.0,1141.64
205,1131,Tablet,7,1334.87,Sur,2025-03-21 00:28:17.174174,Transferencia,0.25,7008.0675
206,1092,Teclado,9,1054.1,Norte,2025-04-08 00:28:17.174178,Tarjeta,0.19,7684.389
207,1190,Teléfono,2,1282.36,Centro,2025-01-04 00:28:17.174182,Tarjeta,0.07,2385.1895999999997
208,1191,Mouse,8,682.62,Sur,2025-06-23 00:28:17.174186,Tarjeta,0.13,4751.0352
209,1113,Teléfono,9,1814.66,Centro,2025-04-23 00:28:17.174190,Tarjeta,0.24,12412.2744
210,1153,Tablet,9,1178.87,Sur,2024-11-29 00:28:17.174193,Transferencia,0.16,8912.257199999998
211,1056,Mouse,7,179.95,Este,2025-01-21 00:28:17.174197,Tarjeta,0.09,1146.2814999999998
212,1161,Laptop,9,905.11,Centro,2024-09-23 00:28:17.174201,Tarjeta,0.08,7494.3108
213,1166,Laptop,9,1515.15,Oeste,2025-05-07 00:28:17.174205,Tarjeta,0.07,12681.8055
214,1117,Impresora,3,1590.33,Norte,2025-02-07 00:28:17.174209,Transferencia,0.25,3578.2425
215,1134,Monitor,4,994.25,Oeste,2025-06-23 00:28:17.174213,Efectivo,0.17,3300.91
216,1058,Tablet,2,1790.55,Centro,2024-11-01 00:28:17.174217,Transferencia,0.21,2829.069
217,1044,Monitor,3,542.66,Sur,2024-10-11 00:28:17.174220,Efectivo,0.26,1204.7052
218,1173,Mouse,5,827.09,Centro,2025-03-09 00:28:17.174224,Efectivo,0.3,2894.8149999999996
219,1160,Tablet,5,1798.21,Norte,2025-01-02 00:28:17.174228,Tarjeta,0.07,8361.6765
220,1173,Teclado,6,1793.55,Centro,2025-02-14 00:28:17.174232,Tarjeta,0.05,10223.234999999999
221,1061,Teléfono,7,1374.57,Sur,2024-09-03 00:28:17.174236,Tarjeta,0.14,8274.911399999999
222,1047,Teclado,7,1719.37,Oeste,2025-05-15 00:28:17.174240,Transferencia,0.01,11915.2341
223,1149,Mouse,1,186.66,Este,2024-07-21 00:28:17.174244,Transferencia,0.24,141.8616
224,1080,Tablet,2,1731.34,Oeste,2025-06-08 00:28:17.174248,Tarjeta,0.27,2527.7563999999998
225,1118,USB,9,648.03,Sur,2025-02-17 00:28:17.174251,Transferencia,0.21,4607.4933
226,1164,Mouse,2,364.88,Sur,2024-07-10 00:28:17.174255,Transferencia,0.08,671.3792
227,1147,USB,6,486.35,Norte,2024-12-03 00:28:17.174259,Efectivo,0.04,2801.376
228,1020,Teléfono,1,841.76,Centro,2025-02-10 00:28:17.174264,Transferencia,0.11,749.1664
229,1185,Laptop,3,509.87,Centro,2024-10-08 00:28:17.174270,Efectivo,0.25,1147.2075
230,1146,Laptop,2,647.93,Oeste,2025-06-10 00:28:17.174275,Tarjeta,0.1,1166.274
231,1047,Mouse,3,278.61,Este,2025-04-19 00:28:17.174279,Transferencia,0.01,827.4717
232,1049,Monitor,5,599.39,Este,2024-07-08 00:28:17.174283,Efectivo,0.08,2757.194
233,1014,Tablet,6,1148.84,Norte,2024-07-17 00:28:17.174287,Transferencia,0.3,4825.127999999999
234,1143,Tablet,9,889.29,Sur,2024-12-11 00:28:17.174292,Efectivo,0.2,6402.888
235,1159,Laptop,4,699.97,Norte,2025-03-02 00:28:17.174296,Efectivo,0.27,2043.9124
236,1001,Impresora,7,1495.44,Centro,2025-01-16 00:28:17.174300,Transferencia,0.23,8060.421600000001
237,1117,Teclado,6,1788.08,Sur,2025-01-14 00:28:17.174303,Tarjeta,0.16,9011.9232
238,1054,Impresora,2,1516.01,Norte,2024-10-13 00:28:17.174307,Efectivo,0.04,2910.7392
239,1118,Teléfono,8,670.68,Oeste,2025-06-09 00:28:17.174311,Tarjeta,0.1,4828.896
240,1003,Teclado,7,1491.44,Centro,2025-05-18 00:28:17.174316,Transferencia,0.18,8560.865600000001
241,1144,Teclado,7,312.44,Este,2025-01-20 00:28:17.174322,Transferencia,0.26,1618.4392
242,1185,Mouse,8,269.33,Norte,2025-05-28 00:28:17.174327,Tarjeta,0.08,1982.2688
243,1012,Laptop,1,697.8,Centro,2025-06-12 00:28:17.174331,Transferencia,0.04,669.8879999999999
244,1074,Impresora,1,1617.33,Centro,2025-04-18 00:28:17.174335,Efectivo,0.17,1342.3838999999998
245,1016,Impresora,8,500.23,Este,2025-05-25 00:28:17.174339,Tarjeta,0.05,3801.748
246,1200,Laptop,4,135.87,Este,2025-03-20 00:28:17.174343,Transferencia,0.18,445.65360000000004
247,1102,Impresora,5,272.1,Este,2024-11-21 00:28:17.174347,Transferencia,0.08,1251.66
248,1152,USB,8,1718.9,Norte,2024-12-12 00:28:17.174351,Tarjeta,0.07,12788.616
249,1156,Laptop,5,1271.23,Este,2025-02-09 00:28:17.174354,Efectivo,0.12,5593.411999999999
250,1117,Mouse,4,513.87,Oeste,2024-09-07 00:28:17.174358,Tarjeta,0.18,1685.4936000000002
251,1008,Monitor,6,1115.04,Centro,2025-05-23 00:28:17.174362,Transferencia,0.16,5619.8016
252,1122,Teclado,5,1059.88,Este,2025-05-16 00:28:17.174366,Transferencia,0.07,4928.442
253,1092,Mouse,7,1314.32,Centro,2024-07-07 00:28:17.174370,Tarjeta,0.27,6716.1752
254,1164,Tablet,7,474.04,Sur,2024-11-30 00:28:17.174374,Efectivo,0.03,3218.7316
255,1090,Teléfono,4,1730.16,Sur,2025-05-12 00:28:17.174378,Efectivo,0.01,6851.4336
256,1136,Monitor,5,625.64,Este,2024-07-22 00:28:17.174382,Efectivo,0.18,2565.1240000000003
257,1186,Tablet,3,1391.32,Centro,2024-10-08 00:28:17.174386,Tarjeta,0.04,4007.0016
258,1060,Teclado,4,42.09,Sur,2024-10-18 00:28:17.174391,Efectivo,0.15,143.106
259,1178,Impresora,4,751.59,Este,2025-04-11 00:28:17.174395,Efectivo,0.29,2134.5156
260,1028,Laptop,3,709.9,Centro,2024-08-09 00:28:17.174398,Efectivo,0.21,1682.463
261,1101,Teclado,5,1091.53,Este,2024-09-01 00:28:17.174403,Efectivo,0.19,4420.6965
