visitante_id,nombre,edad,pais_origen,destino_id,fecha_visita,duracion_dias
1089,Turista_271,26,Canadá,1,2023-11-13,5
1090,Turista_258,41,España,10,2023-06-23,10
1091,Turista_1526,54,España,15,2024-04-14,22
1092,Turista_1830,66,Canadá,7,2023-12-11,21
1093,Turista_2789,58,Japón,18,2024-03-20,4
1094,Turista_2729,34,México,16,2023-01-18,14
1095,Turista_1126,41,Japón,14,2023-03-11,13
1096,Turista_638,38,España,18,2023-12-04,1
1097,Turista_179,68,Japón,7,2024-09-19,16
1098,Turista_53,76,Japón,17,2024-08-14,23
1099,Turista_843,56,Alemania,18,2024-06-10,9
1100,Turista_568,72,Alemania,12,2024-11-18,22
1101,Turista_1460,58,EE.UU.,8,2024-03-31,16
1102,Turista_185,56,Brasil,2,2023-09-26,19
1103,Turista_189,30,Canadá,7,2024-09-22,15
1104,Turista_2524,28,México,4,2023-07-07,26
1105,Turista_2099,63,EE.UU.,18,2024-07-22,14
1106,Turista_860,36,Canadá,6,2024-12-11,20
1107,Turista_2475,28,Japón,9,2024-06-12,10
1108,Turista_2421,30,España,9,2024-03-09,21
1109,Turista_808,63,Alemania,14,2023-10-15,12
1110,Turista_175,62,Argentina,8,2024-07-20,28
1111,Turista_1432,18,México,19,2024-05-13,1
1112,Turista_745,57,Japón,3,2024-03-16,21
1113,Turista_1,61,Argentina,18,2023-10-30,17
1114,Turista_2518,36,Alemania,5,2023-03-28,9
1115,Turista_1980,29,Japón,14,2024-03-13,23
1116,Turista_1874,25,Brasil,4,2024-06-24,19
1117,Turista_2819,25,Brasil,7,2023-01-22,25
1118,Turista_2399,78,Argentina,20,2024-07-13,18
1119,Turista_1208,70,España,12,2024-05-31,28
1120,Turista_331,62,Japón,2,2024-11-05,7
1121,Turista_2020,29,Canadá,11,2024-05-17,9
1122,Turista_1926,78,Japón,14,2024-12-14,22
1123,Turista_1028,65,España,16,2024-04-11,26
1124,Turista_290,50,Japón,20,2023-04-11,21
1125,Turista_2016,62,Argentina,6,2024-08-05,12
1126,Turista_33,43,España,4,2024-11-05,7
1127,Turista_599,56,Alemania,15,2024-11-15,14
1128,Turista_2470,45,México,1,2023-05-21,15
1129,Turista_15,75,España,7,2023-05-18,15
1130,Turista_94,22,Japón,12,2024-07-31,6
1131,Turista_2459,25,Alemania,10,2024-12-10,21
1132,Turista_292,42,México,5,2023-08-16,14
1133,Turista_299,44,Brasil,12,2023-10-08,2
1134,Turista_440,63,Canadá,18,2024-11-14,8
1135,Turista_1300,40,Argentina,10,2024-03-06,13
1136,Turista_2703,47,Japón,6,2023-02-09,23
1137,Turista_2717,62,Japón,12,2024-06-02,6
1138,Turista_2739,64,Brasil,7,2024-11-16,5
1139,Turista_1314,40,Canadá,18,2024-10-24,5
1140,Turista_219,66,Brasil,2,2023-07-30,25
1141,Turista_1846,64,EE.UU.,10,2023-10-29,1
1142,Turista_1948,37,Brasil,15,2023-03-27,9
1143,Turista_1675,35,Alemania,12,2024-02-01,6
1144,Turista_464,35,México,17,2023-09-10,20
1145,Turista_2944,19,Japón,4,2024-06-16,26
1146,Turista_1742,21,Brasil,7,2024-01-16,30
1147,Turista_2687,47,Japón,9,2024-03-19,7
1148,Turista_1104,50,España,19,2023-02-02,9
1149,Turista_1351,53,Canadá,7,2023-09-17,5
1150,Turista_888,35,Brasil,2,2023-08-22,14
1151,Turista_2633,54,México,6,2024-05-29,5
1152,Turista_2246,36,Alemania,18,2023-11-04,8
1153,Turista_2757,64,EE.UU.,6,2023-03-11,7
1154,Turista_2786,45,Japón,13,2024-03-29,13
1155,Turista_1062,57,Canadá,19,2024-03-14,13
1156,Turista_938,37,Argentina,2,2023-12-30,8
1157,Turista_2261,66,México,12,2024-04-25,11
1158,Turista_195,50,Argentina,15,2023-05-24,28
1159,Turista_820,29,México,14,2023-01-24,26
1160,Turista_472,75,México,6,2024-02-29,18
1161,Turista_930,68,Alemania,18,2023-06-24,25
1162,Turista_2865,32,Alemania,5,2023-11-21,19
1163,Turista_431,58,Alemania,18,2024-11-01,6
1164,Turista_1488,56,Brasil,3,2023-12-14,22
1165,Turista_1747,19,España,3,2023-01-18,2
1166,Turista_1424,46,México,10,2023-02-13,28
1167,Turista_2411,58,Canadá,19,2023-06-04,13
1168,Turista_2904,27,Argentina,3,2024-01-12,23
1169,Turista_1468,19,Alemania,12,2024-02-06,25
1170,Turista_1910,68,Brasil,16,2023-08-13,28
1171,Turista_2335,28,Alemania,17,2023-08-05,26
1172,Turista_2055,30,Argentina,7,2024-07-21,11
1173,Turista_2710,27,Argentina,13,2023-01-31,1
1174,Turista_2604,31,Japón,2,2023-02-28,24
1175,Turista_1345,35,México,4,2023-12-19,2
1176,Turista_1513,68,Alemania,10,2024-03-20,30
1177,Turista_1663,71,Argentina,7,2023-08-23,17
1178,Turista_2596,26,España,17,2023-04-17,8
1179,Turista_46,74,España,20,2023-07-10,2
1180,Turista_2311,56,Alemania,6,2024-06-13,6
1181,Turista_901,45,Brasil,19,2024-11-09,22
1182,Turista_257,20,Argentina,5,2024-08-05,5
1183,Turista_795,37,Japón,10,2024-07-19,16
1184,Turista_2355,23,México,9,2023-09-02,8
1185,Turista_2889,44,México,13,2023-03-17,19
1186,Turista_2728,70,Brasil,19,2024-06-30,16
1187,Turista_2644,19,Japón,6,2023-09-24,13
1188,Turista_875,46,México,4,2023-11-13,26
1189,Turista_1792,55,Japón,3,2023-05-01,20
1190,Turista_2758,20,EE.UU.,3,2023-01-25,7
1191,Turista_512,33,Alemania,4,2024-03-07,16
1192,Turista_1602,47,México,5,2023-06-09,23
1193,Turista_573,57,España,8,2024-08-18,16
1194,Turista_2108,19,Argentina,16,2023-04-24,29
1195,Turista_1076,34,Japón,3,2024-05-16,12
1196,Turista_1785,58,Japón,12,2023-06-15,14
1197,Turista_2462,79,Canadá,8,2024-12-03,24
1198,Turista_846,29,Brasil,13,2023-06-24,18
1199,Turista_1836,52,Canadá,4,2023-01-01,27
1200,Turista_458,60,México,14,2023-03-27,28
1201,Turista_434,18,Canadá,14,2024-07-27,18
1202,Turista_1713,72,Canadá,13,2023-11-16,16
1203,Turista_2621,62,EE.UU.,6,2024-02-05,20
1204,Turista_322,32,Japón,17,2024-01-17,16
1205,Turista_701,43,España,4,2024-12-18,13
1206,Turista_2776,54,Brasil,8,2024-09-08,26
1207,Turista_2601,38,España,17,2023-11-14,29
1208,Turista_1538,79,EE.UU.,3,2023-09-07,9
1209,Turista_679,66,EE.UU.,17,2024-06-08,26
1210,Turista_2682,48,Canadá,9,2024-11-05,28
1211,Turista_176,42,Alemania,2,2024-07-08,9
1212,Turista_2529,40,Japón,13,2024-09-14,13
1213,Turista_1147,41,Argentina,20,2024-12-17,29
1214,Turista_1271,74,Japón,2,2023-09-13,4
1215,Turista_2104,55,Argentina,20,2023-11-03,9
1216,Turista_1344,45,Canadá,11,2023-05-24,15
1217,Turista_2752,38,Argentina,15,2024-10-19,14
1218,Turista_1114,71,EE.UU.,11,2024-01-26,19
1219,Turista_1848,60,España,3,2024-11-06,12
1220,Turista_1030,35,Argentina,3,2023-06-18,21
1221,Turista_2592,53,Japón,12,2023-10-25,26
1222,Turista_643,52,Brasil,5,2023-08-21,25
1223,Turista_2839,62,Canadá,20,2023-09-28,6
1224,Turista_2804,72,Alemania,7,2023-03-01,3
1225,Turista_1339,26,Canadá,7,2023-10-23,26
1226,Turista_728,70,México,13,2024-04-11,25
1227,Turista_197,55,Canadá,9,2023-08-23,22
1228,Turista_2175,75,EE.UU.,13,2024-11-07,20
1229,Turista_171,47,España,12,2024-12-06,16
1230,Turista_622,77,España,13,2023-08-22,30
1231,Turista_2833,61,Brasil,10,2024-01-03,20
1232,Turista_89,51,Argentina,1,2024-11-25,24
1233,Turista_556,49,EE.UU.,8,2023-08-20,23
1234,Turista_1158,20,México,16,2024-05-05,17
1235,Turista_1748,20,EE.UU.,13,2024-09-10,16
1236,Turista_2724,45,Canadá,3,2024-05-17,6
1237,Turista_480,61,EE.UU.,3,2024-08-14,8
1238,Turista_818,32,EE.UU.,5,2024-01-16,19
1239,Turista_2360,58,Brasil,11,2024-11-26,30
1240,Turista_333,40,México,7,2024-03-03,25
1241,Turista_2322,57,Canadá,10,2024-11-27,26
1242,Turista_2798,28,Alemania,10,2024-10-07,2
1243,Turista_153,65,Brasil,20,2023-12-30,14
1244,Turista_1279,49,Alemania,2,2023-07-21,22
1245,Turista_2769,75,Brasil,3,2023-05-26,12
1246,Turista_2632,76,España,8,2024-09-30,17
1247,Turista_26,74,Japón,11,2024-04-01,28
1248,Turista_2830,71,Brasil,13,2023-05-15,27
1249,Turista_1262,53,Argentina,7,2024-09-17,15
1250,Turista_1832,77,EE.UU.,13,2023-09-21,18
1251,Turista_1886,50,España,2,2023-03-05,16
1252,Turista_2955,41,México,6,2024-05-05,13
1253,Turista_1323,56,Alemania,9,2024-10-08,21
1254,Turista_2981,51,Japón,20,2023-02-10,17
1255,Turista_2719,73,Japón,2,2023-10-23,8
1256,Turista_417,45,Brasil,18,2023-01-03,1
1257,Turista_830,54,EE.UU.,16,2024-12-06,29
1258,Turista_651,24,México,12,2023-04-20,25
1259,Turista_347,21,Argentina,7,2023-08-09,26
1260,Turista_870,54,México,7,2024-01-05,27
1261,Turista_315,73,EE.UU.,17,2024-01-03,3
1262,Turista_1375,18,Argentina,13,2024-03-11,16
1263,Turista_68,18,México,11,2023-01-04,28
1264,Turista_565,64,Argentina,6,2023-09-01,2
1265,Turista_2609,37,Brasil,14,2023-06-15,15
1266,Turista_2005,36,Brasil,6,2023-01-26,1
1267,Turista_1049,46,EE.UU.,6,2024-01-30,9
1268,Turista_2576,27,EE.UU.,2,2024-04-18,16
1269,Turista_371,77,Argentina,20,2023-01-17,4
1270,Turista_1012,35,Canadá,15,2024-12-28,12
1271,Turista_1614,45,España,17,2023-04-02,1
1272,Turista_2041,52,Japón,8,2024-04-27,1
1273,Turista_433,60,México,5,2024-06-26,7
1274,Turista_2426,64,México,17,2023-07-24,18
1275,Turista_945,48,Canadá,20,2024-05-16,23
1276,Turista_125,44,Canadá,1,2024-02-04,28
1277,Turista_2821,79,Canadá,18,2023-07-26,23
1278,Turista_2912,28,Alemania,15,2024-09-10,15
1279,Turista_1242,66,Alemania,5,2023-05-26,26
1280,Turista_2131,66,Argentina,7,2023-04-11,30
1281,Turista_1363,55,Alemania,18,2023-08-29,25
1282,Turista_1707,22,Brasil,6,2023-06-12,13
1283,Turista_1996,25,Brasil,5,2023-06-22,16
1284,Turista_2651,51,EE.UU.,19,2024-05-16,7
1285,Turista_1638,65,Japón,10,2024-06-30,16
1286,Turista_2879,69,Argentina,15,2023-10-11,13
1287,Turista_1899,73,Japón,10,2023-12-25,14
1288,Turista_1794,29,México,16,2024-01-16,17
1289,Turista_865,55,España,12,2024-06-16,12
1290,Turista_2976,18,EE.UU.,18,2023-06-12,29
1291,Turista_300,48,México,1,2024-08-31,24
1292,Turista_2136,21,México,16,2023-11-03,24
1293,Turista_2267,66,Argentina,6,2023-12-05,20
1294,Turista_2494,62,Canadá,3,2023-02-24,13
1295,Turista_1768,67,Canadá,2,2023-11-29,24
1296,Turista_777,22,Japón,2,2023-05-07,20
1297,Turista_1875,47,EE.UU.,13,2024-12-05,15
1298,Turista_81,73,Canadá,9,2023-08-31,24
1299,Turista_791,41,México,16,2024-08-22,21
1300,Turista_681,76,Canadá,5,2024-02-13,4
1301,Turista_1056,20,Alemania,7,2024-05-17,22
1302,Turista_1053,28,Canadá,13,2024-12-27,2
1303,Turista_323,62,México,20,2024-08-26,28
1304,Turista_409,21,Japón,13,2023-10-30,18
1305,Turista_1617,43,Argentina,7,2024-04-08,2
1306,Turista_2749,44,EE.UU.,10,2023-08-23,25
1307,Turista_2479,63,España,15,2024-11-26,15
1308,Turista_451,71,Canadá,6,2023-02-07,30
1309,Turista_1179,60,Brasil,5,2023-05-19,26
1310,Turista_2468,44,Brasil,2,2023-07-14,19
1311,Turista_1175,59,Japón,15,2024-06-10,15
1312,Turista_142,68,México,16,2024-10-08,26
1313,Turista_479,67,España,19,2023-01-01,20
1314,Turista_1371,23,España,9,2024-07-14,10
1315,Turista_2667,76,Alemania,19,2023-04-06,28
1316,Turista_1682,78,España,7,2024-12-13,24
1317,Turista_2141,32,Brasil,4,2024-02-17,20
1318,Turista_868,70,Argentina,3,2024-06-21,11
1319,Turista_1196,47,México,20,2024-03-04,26
1320,Turista_2487,59,México,11,2023-08-23,10
1321,Turista_2893,54,Canadá,1,2023-12-15,29
1322,Turista_2155,75,Canadá,6,2024-04-25,23
1323,Turista_178,78,Canadá,11,2024-01-31,5
1324,Turista_2683,54,Brasil,1,2023-12-17,9
1325,Turista_1576,59,Brasil,7,2024-02-20,20
1326,Turista_1711,77,Japón,6,2023-02-20,19
1327,Turista_706,54,Brasil,14,2023-03-22,13
1328,Turista_2314,52,Brasil,2,2023-02-05,18
1329,Turista_184,40,Brasil,4,2023-03-08,17
1330,Turista_424,23,Brasil,11,2024-10-02,27
1331,Turista_1284,21,Argentina,15,2024-10-28,6
1332,Turista_606,35,Brasil,18,2024-09-14,10
1333,Turista_2872,77,Japón,1,2024-11-10,2
1334,Turista_611,26,España,3,2024-04-25,24
1335,Turista_2653,66,España,3,2024-04-12,6
1336,Turista_600,46,Alemania,7,2023-05-22,28
1337,Turista_2085,30,Argentina,1,2023-12-22,28
1338,Turista_369,76,Canadá,11,2024-12-09,21
1339,Turista_1841,64,EE.UU.,6,2024-04-15,13
1340,Turista_1952,79,Brasil,20,2024-09-12,18
1341,Turista_1188,69,Alemania,3,2024-08-13,7
1342,Turista_344,34,EE.UU.,19,2024-11-03,2
1343,Turista_163,62,Japón,2,2024-03-14,29
1344,Turista_1831,49,España,18,2024-06-14,14
1345,Turista_2941,65,Alemania,12,2023-05-07,5
1346,Turista_1045,39,Japón,10,2023-07-24,18
1347,Turista_555,21,Alemania,5,2023-01-29,11
1348,Turista_943,22,México,9,2024-03-20,10
1349,Turista_1627,54,Japón,2,2024-12-19,11
1350,Turista_2807,58,España,2,2024-04-08,27
1351,Turista_31,66,España,6,2023-10-07,2
1352,Turista_2868,30,Argentina,10,2023-05-31,15
1353,Turista_1955,51,Alemania,18,2023-08-28,7
1354,Turista_2989,62,Brasil,12,2023-09-23,9
1355,Turista_174,39,España,4,2024-11-24,5
1356,Turista_1930,70,Alemania,17,2023-04-15,7
1357,Turista_297,76,Argentina,15,2024-03-08,20
1358,Turista_326,40,Brasil,6,2024-05-11,2
1359,Turista_1449,68,Japón,16,2024-03-15,3
1360,Turista_412,20,Argentina,17,2024-11-15,2
1361,Turista_2496,59,México,3,2023-06-07,21
1362,Turista_529,51,Brasil,10,2023-06-21,22
1363,Turista_1229,49,Alemania,5,2024-05-08,23
1364,Turista_2464,62,España,14,2023-11-07,19
1365,Turista_1150,68,España,13,2024-02-07,4
1366,Turista_1209,75,Alemania,6,2024-10-30,24
1367,Turista_1717,66,Alemania,12,2024-11-06,20
1368,Turista_2342,38,Alemania,8,2024-10-20,7
1369,Turista_2243,63,Canadá,5,2024-10-27,28
1370,Turista_528,61,Brasil,15,2024-04-07,22
1371,Turista_2721,38,España,16,2024-01-02,7
1372,Turista_74,61,Brasil,1,2024-07-03,17
1373,Turista_1534,28,Argentina,16,2024-10-04,19
1374,Turista_1826,56,España,5,2023-09-12,22
1375,Turista_1821,21,Canadá,3,2023-07-27,16
1376,Turista_2796,68,Alemania,20,2024-03-25,3
1377,Turista_2376,18,México,15,2023-04-05,15
1378,Turista_1254,45,Alemania,13,2024-04-22,14
1379,Turista_2223,41,Japón,16,2024-11-13,15
1380,Turista_2925,78,Alemania,11,2023-07-09,14
1381,Turista_1466,52,Canadá,2,2024-12-11,7
1382,Turista_1361,30,Brasil,6,2024-04-28,25
1383,Turista_1865,64,España,6,2024-06-19,3
1384,Turista_411,51,Alemania,14,2024-02-27,30
1385,Turista_450,28,España,11,2024-10-01,17
1386,Turista_1591,53,EE.UU.,8,2024-08-27,10
1387,Turista_647,68,Argentina,8,2023-05-13,15
1388,Turista_2741,78,Brasil,1,2023-02-24,29
1389,Turista_913,34,España,7,2024-05-24,6
1390,Turista_2501,52,México,6,2024-10-31,28
1391,Turista_613,77,Argentina,8,2024-06-24,17
1392,Turista_1609,35,Japón,19,2024-02-14,17
1393,Turista_325,57,Japón,20,2023-07-30,14
1394,Turista_508,39,México,8,2024-10-27,24
1395,Turista_2688,74,Alemania,14,2023-10-20,25
1396,Turista_2869,41,Argentina,18,2023-04-25,18
1397,Turista_496,75,España,16,2024-10-31,25
1398,Turista_2587,36,Argentina,9,2023-09-16,5
1399,Turista_2180,54,Alemania,15,2023-05-02,29
1400,Turista_1919,56,Canadá,10,2023-10-26,8
1401,Turista_1006,38,Brasil,16,2024-01-16,7
1402,Turista_2953,25,México,4,2024-07-14,23
1403,Turista_1719,45,Alemania,20,2024-05-15,4
1404,Turista_240,22,Canadá,13,2023-10-24,18
1405,Turista_1881,34,Argentina,5,2023-12-28,5
1406,Turista_2021,54,Argentina,7,2024-08-11,16
1407,Turista_2149,53,Alemania,9,2024-04-07,14
1408,Turista_1331,71,España,8,2024-03-13,27
1409,Turista_1002,36,Argentina,16,2023-05-07,27
1410,Turista_1193,44,España,6,2023-07-16,19
1411,Turista_2826,70,España,16,2023-08-09,14
1412,Turista_2960,51,Brasil,6,2023-04-01,9
1413,Turista_890,28,España,14,2024-02-15,6
1414,Turista_1492,71,EE.UU.,1,2023-01-08,17
1415,Turista_1724,62,Brasil,9,2024-06-27,19
1416,Turista_545,64,Canadá,13,2024-04-12,12
1417,Turista_1512,29,Canadá,19,2023-11-16,4
1418,Turista_2977,71,Argentina,17,2024-01-29,16
1419,Turista_1733,38,Argentina,11,2023-09-26,25
1420,Turista_2352,71,España,8,2023-07-10,11
1421,Turista_1180,28,Brasil,5,2024-11-05,22
1422,Turista_583,56,Brasil,10,2023-03-02,4
1423,Turista_2553,45,EE.UU.,7,2024-03-13,17
1424,Turista_719,22,España,10,2023-09-21,8
1425,Turista_953,34,EE.UU.,4,2023-04-05,14
1426,Turista_2051,73,Japón,9,2024-07-06,27
1427,Turista_2298,37,España,14,2024-04-14,2
1428,Turista_1481,58,México,2,2024-10-22,11
1429,Turista_415,63,México,9,2024-12-16,11
1430,Turista_1594,75,Alemania,1,2024-05-28,24
1431,Turista_507,29,España,10,2024-11-20,22
1432,Turista_1256,23,Brasil,10,2023-07-13,24
1433,Turista_2672,34,Argentina,20,2024-04-26,6
1434,Turista_109,68,Canadá,3,2023-12-02,21
1435,Turista_2794,36,Alemania,6,2024-03-10,21
1436,Turista_928,43,Argentina,6,2023-07-15,14
1437,Turista_1103,65,México,2,2023-09-06,30
1438,Turista_1018,61,España,18,2024-05-12,10
1439,Turista_319,61,Alemania,2,2023-07-31,26
1440,Turista_1094,69,España,12,2024-10-26,27
1441,Turista_1718,49,México,5,2024-10-31,8
1442,Turista_1790,23,Alemania,20,2024-04-10,7
1443,Turista_2205,72,México,7,2024-10-12,8
1444,Turista_1037,75,EE.UU.,16,2023-08-09,28
1445,Turista_403,53,México,20,2023-09-30,8
1446,Turista_2122,55,Brasil,1,2023-06-03,23
1447,Turista_813,28,Brasil,1,2023-09-06,2
1448,Turista_2286,50,España,17,2023-10-06,27
1449,Turista_848,79,Canadá,1,2024-03-15,16
1450,Turista_760,41,México,20,2023-10-03,9
1451,Turista_2400,40,Argentina,13,2024-05-28,13
1452,Turista_388,32,Brasil,9,2023-03-29,23
1453,Turista_2761,44,Japón,15,2024-10-03,12
1454,Turista_582,28,Canadá,3,2024-05-19,27
1455,Turista_786,74,EE.UU.,14,2024-08-12,22
1456,Turista_558,68,Alemania,11,2023-08-29,25
1457,Turista_2617,67,Alemania,12,2024-10-14,29
1458,Turista_1565,34,Brasil,13,2024-11-05,17
1459,Turista_1988,68,Canadá,13,2023-08-24,27
1460,Turista_1038,70,Brasil,1,2023-05-08,2
1461,Turista_1862,31,Alemania,10,2024-05-17,13
1462,Turista_71,44,Japón,3,2023-07-19,1
1463,Turista_2216,35,México,4,2024-06-26,26
1464,Turista_2329,45,Canadá,16,2024-05-16,28
1465,Turista_2568,68,España,8,2024-10-11,19
1466,Turista_2336,64,México,16,2024-05-06,11
1467,Turista_57,64,México,17,2023-01-21,5
1468,Turista_2432,21,México,19,2023-08-22,1
1469,Turista_2499,24,España,15,2024-12-14,20
1470,Turista_1377,62,Japón,16,2024-10-04,30
1471,Turista_1802,52,EE.UU.,15,2024-02-20,13
1472,Turista_2114,65,Japón,2,2023-05-28,8
1473,Turista_1058,26,Japón,11,2023-01-29,6
1474,Turista_1337,25,Japón,1,2023-12-27,29
1475,Turista_310,69,Argentina,15,2023-11-04,17
1476,Turista_2737,62,Brasil,19,2023-06-11,12
1477,Turista_2577,34,Alemania,4,2023-03-02,1
1478,Turista_1011,34,Brasil,11,2023-05-05,3
1479,Turista_2895,66,Canadá,5,2024-03-31,14
1480,Turista_1608,50,Japón,3,2023-03-12,26
1481,Turista_1245,49,EE.UU.,13,2024-04-10,8
1482,Turista_394,25,Canadá,10,2023-08-31,11
1483,Turista_2931,36,Brasil,11,2024-05-04,27
1484,Turista_487,55,Alemania,18,2023-08-09,14
1485,Turista_1692,20,España,2,2024-04-17,8
1486,Turista_533,76,Brasil,7,2024-06-16,29
1487,Turista_2137,22,México,9,2024-05-08,3
1488,Turista_569,30,Brasil,10,2023-03-23,7
1489,Turista_1942,64,México,18,2024-06-05,28
1490,Turista_1135,63,España,7,2023-01-12,19
1491,Turista_1035,78,Brasil,7,2023-09-20,4
1492,Turista_933,48,EE.UU.,3,2024-10-18,25
1493,Turista_841,72,EE.UU.,12,2024-03-24,16
1494,Turista_2211,33,Canadá,7,2023-07-11,13
1495,Turista_1927,67,España,17,2023-04-24,20
1496,Turista_2629,49,Japón,1,2023-01-26,19
1497,Turista_2678,39,EE.UU.,5,2024-05-13,5
1498,Turista_2381,46,Brasil,16,2024-05-22,23
1499,Turista_437,39,España,15,2024-06-28,5
1500,Turista_2054,60,Alemania,2,2023-03-03,20
1501,Turista_121,20,México,9,2023-08-17,24
1502,Turista_2048,71,Brasil,7,2024-08-29,4
1503,Turista_810,27,México,4,2023-02-04,2
1504,Turista_2546,59,México,20,2024-12-05,26
1505,Turista_1722,79,Japón,18,2024-03-31,13
1506,Turista_1579,38,España,4,2024-08-10,30
1507,Turista_314,33,España,13,2024-05-16,16
1508,Turista_2269,29,Canadá,1,2024-08-17,22
1509,Turista_234,19,México,3,2023-01-25,2
1510,Turista_2443,58,Canadá,16,2024-07-22,19
1511,Turista_1026,41,Japón,4,2023-02-01,17
1512,Turista_2805,52,México,16,2023-01-12,5
1513,Turista_2275,73,Canadá,19,2023-11-15,25
1514,Turista_696,47,Canadá,1,2024-08-26,18
1515,Turista_112,74,Alemania,5,2023-01-01,28
1516,Turista_1197,47,Canadá,19,2024-03-10,23
