campaign_id,tipo_campaña,fecha_inicio,fecha_fin,presupuesto,clicks,conversiones,channel_id,customer_id
61,Google Ads,2023-03-02,2023-03-11,4431.55,1895,46,6,190.0
62,Google Ads,2023-03-03,2023-03-12,4928.38,1550,51,5,492.0
63,Email,2023-03-04,2023-03-13,3957.23,809,169,2,
64,Email,2023-03-05,2023-03-14,2379.95,453,26,2,209.0
65,Google Ads,2023-03-06,2023-03-15,2396.11,1102,189,1,
66,Redes Sociales,2023-03-07,2023-03-16,3819.12,1865,111,3,
67,SEO,2023-03-08,2023-03-17,1574.5,387,31,4,439.0
68,Email,2023-03-09,2023-03-18,997.13,880,45,2,
69,SEO,2023-03-10,2023-03-19,2095.8,763,84,1,455.0
70,Redes Sociales,2023-03-11,2023-03-20,1792.58,410,166,6,267.0
71,Redes Sociales,2023-03-12,2023-03-21,1833.39,618,164,3,
72,Redes Sociales,2023-03-13,2023-03-22,1551.23,1465,93,3,551.0
73,Email,2023-03-14,2023-03-23,689.42,267,70,1,204.0
74,Redes Sociales,2023-03-15,2023-03-24,580.43,1647,16,1,249.0
75,Email,2023-03-16,2023-03-25,4944.75,1742,172,4,245.0
76,Redes Sociales,2023-03-17,2023-03-26,2424.98,251,77,1,398.0
77,SEO,2023-03-18,2023-03-27,2229.47,66,80,4,266.0
78,SEO,2023-03-19,2023-03-28,3558.41,371,94,4,147.0
79,Google Ads,2023-03-20,2023-03-29,1482.14,567,14,5,338.0
80,SEO,2023-03-21,,4774.83,1643,100,3,106.0
81,Google Ads,2023-03-22,2023-03-31,4038.55,1398,180,6,563.0
82,SEO,2023-03-23,2023-04-01,902.35,1485,24,3,552.0
83,Email,2023-03-24,2023-04-02,2379.11,1391,43,3,470.0
84,SEO,2023-03-25,2023-04-03,4456.03,730,64,5,
85,Google Ads,2023-03-26,2023-04-04,4751.29,1155,70,4,586.0
86,Google Ads,2023-03-27,2023-04-05,2603.31,1547,69,4,310.0
87,Redes Sociales,2023-03-28,2023-04-06,3260.35,1541,183,1,264.0
88,Email,2023-03-29,2023-04-07,1251.65,474,-1,5,224.0
89,SEO,2023-03-30,2023-04-08,4960.26,1804,-1,1,436.0
90,Redes Sociales,2023-03-31,2023-04-09,1542.52,1762,156,5,291.0
91,SEO,2023-04-01,2023-04-10,4742.29,1277,159,1,313.0
92,SEO,2023-04-02,2023-04-11,3423.41,1656,134,2,
93,Redes Sociales,2023-04-03,2023-04-12,3234.82,1068,163,3,427.0
94,Redes Sociales,2023-04-04,2023-04-13,2807.1,436,-1,3,480.0
95,Redes Sociales,2023-04-05,2023-04-14,1538.01,827,82,6,
96,Redes Sociales,2023-04-06,2023-04-15,1294.38,147,198,4,338.0
97,Redes Sociales,2023-04-07,2023-04-16,1492.19,1418,33,6,
98,SEO,2023-04-08,2023-04-17,1338.97,1876,19,2,181.0
99,Redes Sociales,2023-04-09,2023-04-18,4008.13,257,16,6,462.0
100,Email,2023-04-10,2023-04-19,2075.56,1587,105,3,
101,Google Ads,2023-04-11,2023-04-20,760.29,1709,160,4,301.0
102,Redes Sociales,2023-04-12,2023-04-21,4860.96,1865,-1,2,
103,Redes Sociales,2023-04-13,,4477.04,635,-1,3,136.0
104,SEO,2023-04-14,2023-04-23,4674.89,215,107,1,
105,Redes Sociales,2023-04-15,2023-04-24,4977.09,71,28,5,501.0
106,Redes Sociales,2023-04-16,2023-04-25,1282.53,203,153,2,275.0
107,Redes Sociales,2023-04-17,2023-04-26,2283.09,1512,142,4,
108,SEO,2023-04-18,2023-04-27,3912.07,1368,114,6,
109,Redes Sociales,2023-04-19,2023-04-28,3632.09,268,82,6,566.0
110,Google Ads,2023-04-20,2023-04-29,1192.53,718,-1,2,300.0
111,SEO,2023-04-21,2023-04-30,4171.25,1568,150,4,
112,Google Ads,2023-04-22,2023-05-01,1509.98,279,146,2,
113,SEO,2023-04-23,2023-05-02,1507.18,69,166,4,493.0
114,Redes Sociales,2023-04-24,2023-05-03,2916.38,602,-1,6,141.0
115,Google Ads,2023-04-25,2023-05-04,3168.23,999,62,3,
116,SEO,2023-04-26,2023-05-05,3110.39,197,80,1,492.0
117,Email,2023-04-27,2023-05-06,911.69,1181,154,3,540.0
118,Redes Sociales,2023-04-28,2023-05-07,4448.57,452,40,1,
119,SEO,2023-04-29,2023-05-08,1695.2,645,-1,6,419.0
120,Email,2023-04-30,2023-05-09,1082.82,1556,168,3,
121,SEO,2023-05-01,2023-05-10,4499.37,416,26,3,314.0
122,Email,2023-05-02,2023-05-11,4800.43,1907,131,2,170.0
123,Redes Sociales,2023-05-03,2023-05-12,4379.57,1487,84,5,
124,Google Ads,2023-05-04,2023-05-13,4142.82,1382,-1,6,335.0
125,Email,2023-05-05,2023-05-14,3448.59,851,104,4,380.0
126,SEO,2023-05-06,2023-05-15,2978.86,967,-1,6,261.0
127,Redes Sociales,2023-05-07,2023-05-16,891.44,1908,100,4,290.0
128,Email,2023-05-08,2023-05-17,2338.04,1207,165,4,108.0
129,SEO,2023-05-09,2023-05-18,2177.1,1792,177,1,159.0
130,SEO,2023-05-10,,1668.89,1356,168,4,324.0
131,SEO,2023-05-11,2023-05-20,3755.39,1851,-1,4,
132,Email,2023-05-12,2023-05-21,2731.44,122,22,2,386.0
133,Email,2023-05-13,2023-05-22,864.71,530,-1,3,268.0
134,Email,2023-05-14,2023-05-23,1490.82,1425,199,6,161.0
135,Google Ads,2023-05-15,2023-05-24,3574.66,609,155,6,448.0
136,Email,2023-05-16,2023-05-25,842.59,1399,113,4,541.0
137,Email,2023-05-17,2023-05-26,4330.43,794,127,5,113.0
138,Email,2023-05-18,2023-05-27,2728.16,1516,148,6,263.0
139,Google Ads,2023-05-19,,2662.64,149,191,4,519.0
140,Email,2023-05-20,2023-05-29,3165.84,1132,-1,1,
141,SEO,2023-05-21,2023-05-30,4211.06,557,108,1,
142,Email,2023-05-22,2023-05-31,2065.14,307,144,1,
143,SEO,2023-05-23,2023-06-01,3551.07,462,148,4,
144,SEO,2023-05-24,2023-06-02,3045.79,1525,85,2,127.0
145,SEO,2023-05-25,,1701.63,1138,91,5,545.0
146,Google Ads,2023-05-26,2023-06-04,4453.83,644,146,4,307.0
147,Google Ads,2023-05-27,2023-06-05,4088.42,1227,65,2,569.0
148,Google Ads,2023-05-28,,3463.03,315,50,2,203.0
149,Email,2023-05-29,2023-06-07,4327.62,870,36,6,525.0
150,SEO,2023-05-30,2023-06-08,4402.82,1152,19,4,200.0
151,Google Ads,2023-05-31,2023-06-09,3687.63,1388,48,4,
152,Google Ads,2023-06-01,2023-06-10,4266.56,711,149,2,
153,Email,2023-06-02,,3638.62,996,173,2,205.0
154,Google Ads,2023-06-03,2023-06-12,3560.63,609,58,2,376.0
155,Email,2023-06-04,2023-06-13,3283.75,966,48,6,164.0
156,Redes Sociales,2023-06-05,2023-06-14,3887.22,940,102,4,287.0
157,Google Ads,2023-06-06,2023-06-15,1213.72,1321,9,2,416.0
158,Redes Sociales,2023-06-07,2023-06-16,4463.92,1863,113,1,237.0
159,Email,2023-06-08,2023-06-17,4423.3,917,31,4,442.0
160,SEO,2023-06-09,2023-06-18,631.61,659,120,6,204.0
161,Google Ads,2023-06-10,2023-06-19,4216.18,463,91,1,
162,Email,2023-06-11,2023-06-20,1079.91,74,108,3,479.0
163,SEO,2023-06-12,2023-06-21,2008.03,333,-1,4,209.0
164,SEO,2023-06-13,2023-06-22,3845.79,1522,-1,3,
165,Redes Sociales,2023-06-14,2023-06-23,1223.42,930,47,2,453.0
166,Email,2023-06-15,2023-06-24,4180.85,350,101,6,416.0
167,SEO,2023-06-16,2023-06-25,4244.6,1141,35,2,365.0
168,Google Ads,2023-06-17,2023-06-26,2783.6,1080,103,6,164.0
169,Google Ads,2023-06-18,2023-06-27,528.74,866,21,5,432.0
170,Redes Sociales,2023-06-19,,1791.67,1210,87,2,
171,SEO,2023-06-20,2023-06-29,3276.17,1237,-1,3,232.0
172,Email,2023-06-21,2023-06-30,4915.34,132,186,6,
173,Google Ads,2023-06-22,2023-07-01,3343.16,1970,-1,2,
174,SEO,2023-06-23,2023-07-02,1669.12,1723,36,4,
175,SEO,2023-06-24,2023-07-03,3353.03,1493,172,6,595.0
176,Redes Sociales,2023-06-25,2023-07-04,2929.93,1146,-1,6,468.0
177,Google Ads,2023-06-26,,4009.3,1310,39,2,198.0
178,Google Ads,2023-06-27,,981.41,95,137,5,416.0
179,Email,2023-06-28,2023-07-07,3924.63,667,33,2,222.0
180,Google Ads,2023-06-29,2023-07-08,2935.7,977,74,3,419.0
181,Email,2023-06-30,2023-07-09,4833.46,1873,157,3,
182,Google Ads,2023-07-01,2023-07-10,2038.42,311,99,6,594.0
183,Redes Sociales,2023-07-02,,3346.8,225,26,6,556.0
184,Google Ads,2023-07-03,,4694.13,1239,198,2,
185,Email,2023-07-04,2023-07-13,961.29,706,177,3,
186,Email,2023-07-05,2023-07-14,4717.53,891,73,3,414.0
187,Redes Sociales,2023-07-06,2023-07-15,3595.49,419,93,5,
188,Google Ads,2023-07-07,2023-07-16,805.27,1868,76,4,578.0
189,Google Ads,2023-07-08,2023-07-17,1854.34,103,133,5,119.0
190,Redes Sociales,2023-07-09,2023-07-18,3686.77,739,176,1,
191,Google Ads,2023-07-10,2023-07-19,803.08,1492,91,5,229.0
192,Google Ads,2023-07-11,,3119.77,1829,100,2,392.0
193,Email,2023-07-12,2023-07-21,2056.47,1580,79,4,231.0
194,Google Ads,2023-07-13,2023-07-22,3294.12,1414,171,2,455.0
195,Google Ads,2023-07-14,2023-07-23,705.84,1200,58,1,153.0
196,Redes Sociales,2023-07-15,2023-07-24,4421.92,1482,92,4,486.0
197,Redes Sociales,2023-07-16,2023-07-25,4880.7,1997,161,6,364.0
198,SEO,2023-07-17,2023-07-26,4859.95,416,58,3,314.0
199,Email,2023-07-18,2023-07-27,3873.43,1344,20,5,559.0
200,Google Ads,2023-07-19,2023-07-28,1085.39,693,103,2,557.0
201,Google Ads,2023-07-20,2023-07-29,3912.18,1678,24,1,142.0
202,SEO,2023-07-21,2023-07-30,610.64,428,50,3,
203,Google Ads,2023-07-22,2023-07-31,599.56,122,199,5,377.0
204,Email,2023-07-23,2023-08-01,1956.25,1996,197,3,229.0
205,SEO,2023-07-24,2023-08-02,2698.89,1995,131,5,449.0
206,Email,2023-07-25,2023-08-03,3966.83,964,62,6,
207,SEO,2023-07-26,2023-08-04,3574.83,1321,-1,4,205.0
208,SEO,2023-07-27,2023-08-05,2506.56,909,115,3,100.0
209,Redes Sociales,2023-07-28,2023-08-06,1731.32,1858,-1,3,
210,Email,2023-07-29,2023-08-07,4987.06,92,85,3,531.0
211,Google Ads,2023-07-30,,2417.82,426,198,4,405.0
212,Google Ads,2023-07-31,2023-08-09,2531.24,1114,161,1,
213,Email,2023-08-01,2023-08-10,1236.31,219,88,5,152.0
214,Google Ads,2023-08-02,2023-08-11,4076.64,261,74,6,
215,Google Ads,2023-08-03,2023-08-12,3621.57,1566,12,3,429.0
216,Email,2023-08-04,2023-08-13,1493.46,1753,33,4,
217,SEO,2023-08-05,2023-08-14,870.71,88,116,1,424.0
218,Email,2023-08-06,2023-08-15,3562.25,418,-1,5,213.0
219,SEO,2023-08-07,2023-08-16,3445.3,806,165,4,246.0
220,Google Ads,2023-08-08,2023-08-17,1729.67,200,135,6,265.0
221,Google Ads,2023-08-09,2023-08-18,4778.89,1184,192,6,478.0
222,Google Ads,2023-08-10,2023-08-19,1179.76,1553,167,5,238.0
223,Redes Sociales,2023-08-11,,2445.51,1509,112,3,398.0
224,SEO,2023-08-12,2023-08-21,4746.27,1120,113,6,375.0
225,Redes Sociales,2023-08-13,,2388.77,1073,24,1,277.0
226,Redes Sociales,2023-08-14,2023-08-23,3373.37,1648,-1,4,453.0
227,Email,2023-08-15,2023-08-24,2289.17,786,171,1,253.0
228,Redes Sociales,2023-08-16,,1733.97,1439,8,3,300.0
229,Email,2023-08-17,2023-08-26,4927.9,118,23,1,214.0
230,Email,2023-08-18,2023-08-27,2342.0,348,106,1,
231,Redes Sociales,2023-08-19,2023-08-28,4523.45,993,177,2,167.0
232,SEO,2023-08-20,2023-08-29,1534.8,851,175,1,544.0
233,SEO,2023-08-21,2023-08-30,1458.97,345,145,5,544.0
234,SEO,2023-08-22,2023-08-31,640.1,252,145,4,425.0
235,SEO,2023-08-23,2023-09-01,3432.5,110,192,2,458.0
236,SEO,2023-08-24,2023-09-02,2158.37,995,189,4,244.0
237,Redes Sociales,2023-08-25,2023-09-03,4389.61,1012,-1,4,374.0
238,Redes Sociales,2023-08-26,2023-09-04,2629.44,1903,-1,3,
239,Google Ads,2023-08-27,2023-09-05,4856.87,1387,115,3,278.0
240,SEO,2023-08-28,2023-09-06,1334.86,1234,185,2,576.0
241,Redes Sociales,2023-08-29,2023-09-07,4408.8,380,113,6,513.0
242,Google Ads,2023-08-30,2023-09-08,3994.69,1601,90,3,252.0
243,SEO,2023-08-31,2023-09-09,3969.15,387,47,3,203.0
244,Email,2023-09-01,2023-09-10,4301.52,1679,46,3,174.0
245,Google Ads,2023-09-02,2023-09-11,3924.61,1377,94,4,227.0
246,Redes Sociales,2023-09-03,2023-09-12,3317.99,1576,119,2,
247,Email,2023-09-04,2023-09-13,1090.6,1723,30,4,444.0
248,Email,2023-09-05,2023-09-14,646.37,1411,155,5,
249,Email,2023-09-06,2023-09-15,4643.82,1623,47,4,258.0
250,Google Ads,2023-09-07,2023-09-16,3274.93,688,81,5,
251,Redes Sociales,2023-09-08,2023-09-17,4084.42,324,160,1,525.0
252,Email,2023-09-09,2023-09-18,2666.85,1237,141,1,122.0
253,SEO,2023-09-10,2023-09-19,1027.89,1516,24,5,146.0
254,Email,2023-09-11,2023-09-20,1063.34,368,188,5,
255,Email,2023-09-12,2023-09-21,3585.04,638,43,4,243.0
256,Google Ads,2023-09-13,2023-09-22,2436.38,553,183,5,
257,Google Ads,2023-09-14,2023-09-23,1402.36,1759,16,2,
258,Redes Sociales,2023-09-15,2023-09-24,2712.18,436,187,1,518.0
259,SEO,2023-09-16,2023-09-25,788.94,919,15,1,184.0
260,Google Ads,2023-09-17,2023-09-26,3118.87,882,158,6,515.0
261,Email,2023-09-18,2023-09-27,1710.47,1064,46,5,581.0
262,Redes Sociales,2023-09-19,2023-09-28,4089.02,1961,159,3,555.0
263,Email,2023-09-20,2023-09-29,1896.63,652,15,3,396.0
264,Email,2023-09-21,2023-09-30,2548.49,1823,42,5,211.0
265,Google Ads,2023-09-22,2023-10-01,552.29,1849,102,2,329.0
266,Redes Sociales,2023-09-23,2023-10-02,826.01,740,-1,3,195.0
267,SEO,2023-09-24,2023-10-03,2266.22,543,23,6,477.0
268,SEO,2023-09-25,2023-10-04,2659.72,539,196,5,255.0
269,Google Ads,2023-09-26,2023-10-05,3200.09,770,138,2,520.0
270,Google Ads,2023-09-27,2023-10-06,1812.48,1146,178,2,204.0
271,Redes Sociales,2023-09-28,2023-10-07,3627.42,558,120,4,429.0
272,SEO,2023-09-29,2023-10-08,4370.55,439,117,2,538.0
273,SEO,2023-09-30,2023-10-09,4009.33,1692,174,3,231.0
274,SEO,2023-10-01,,678.28,1930,69,3,481.0
275,Email,2023-10-02,2023-10-11,2662.28,344,103,5,237.0
276,SEO,2023-10-03,2023-10-12,972.19,1442,76,5,369.0
277,Email,2023-10-04,2023-10-13,1589.2,845,191,2,
278,Redes Sociales,2023-10-05,2023-10-14,4939.98,914,56,6,495.0
279,Email,2023-10-06,2023-10-15,1141.23,1767,122,1,
280,Redes Sociales,2023-10-07,2023-10-16,2745.0,598,179,4,563.0
281,SEO,2023-10-08,,3281.7,698,124,1,549.0
282,SEO,2023-10-09,2023-10-18,3661.09,1923,-1,2,430.0
283,Redes Sociales,2023-10-10,2023-10-19,3018.42,617,15,2,352.0
284,Google Ads,2023-10-11,2023-10-20,543.97,1260,107,1,384.0
285,Redes Sociales,2023-10-12,2023-10-21,1969.08,902,-1,4,373.0
286,Google Ads,2023-10-13,2023-10-22,2829.7,819,72,1,119.0
287,Email,2023-10-14,2023-10-23,895.4,494,157,5,338.0
288,Email,2023-10-15,2023-10-24,2077.82,1643,144,3,369.0
289,Email,2023-10-16,2023-10-25,649.41,412,158,6,517.0
290,SEO,2023-10-17,2023-10-26,853.6,172,106,5,409.0
291,Email,2023-10-18,2023-10-27,2286.15,1261,-1,3,130.0
292,Google Ads,2023-10-19,2023-10-28,1097.22,791,-1,6,203.0
293,Email,2023-10-20,2023-10-29,3053.93,729,175,6,285.0
294,Redes Sociales,2023-10-21,2023-10-30,3602.59,469,55,6,227.0
295,Redes Sociales,2023-10-22,2023-10-31,4102.64,1699,121,2,309.0
296,SEO,2023-10-23,2023-11-01,1400.68,1325,169,6,513.0
297,Redes Sociales,2023-10-24,2023-11-02,1253.67,1692,50,4,380.0
298,Google Ads,2023-10-25,2023-11-03,970.56,1622,57,1,352.0
299,Email,2023-10-26,2023-11-04,3363.94,1408,92,4,118.0
300,SEO,2023-10-27,2023-11-05,3679.14,141,125,1,235.0
301,Email,2023-10-28,2023-11-06,642.14,1603,17,5,322.0
302,Email,2023-10-29,2023-11-07,4712.96,1939,93,5,102.0
303,Google Ads,2023-10-30,2023-11-08,733.87,112,129,1,335.0
304,Redes Sociales,2023-10-31,2023-11-09,2935.83,1735,122,4,564.0
305,Redes Sociales,2023-11-01,2023-11-10,3690.77,561,-1,1,327.0
306,Email,2023-11-02,2023-11-11,4419.36,1212,189,6,598.0
307,SEO,2023-11-03,2023-11-12,3713.39,1771,120,2,
308,Redes Sociales,2023-11-04,2023-11-13,4107.78,1258,122,5,238.0
309,SEO,2023-11-05,2023-11-14,2027.53,1278,8,2,375.0
310,Redes Sociales,2023-11-06,2023-11-15,4166.71,821,79,6,390.0
311,SEO,2023-11-07,2023-11-16,860.52,1287,53,6,152.0
312,Google Ads,2023-11-08,2023-11-17,4526.67,305,11,5,209.0
313,SEO,2023-11-09,2023-11-18,2964.17,184,114,5,103.0
314,Google Ads,2023-11-10,2023-11-19,4177.84,1646,126,6,146.0
315,Google Ads,2023-11-11,2023-11-20,2535.43,924,15,3,193.0
316,SEO,2023-11-12,2023-11-21,3396.1,871,96,2,
317,Google Ads,2023-11-13,2023-11-22,2868.81,137,186,2,312.0
318,Email,2023-11-14,2023-11-23,3792.15,1909,177,3,535.0
319,Google Ads,2023-11-15,2023-11-24,867.33,1037,-1,4,
320,Redes Sociales,2023-11-16,2023-11-25,771.58,1280,32,2,304.0
321,SEO,2023-11-17,2023-11-26,1611.96,1202,115,1,480.0
322,Email,2023-11-18,2023-11-27,1217.95,872,61,6,172.0
323,SEO,2023-11-19,2023-11-28,4423.03,1076,30,6,
324,Redes Sociales,2023-11-20,2023-11-29,1486.46,1023,157,3,175.0
325,Redes Sociales,2023-11-21,2023-11-30,4891.39,983,58,2,176.0
326,Redes Sociales,2023-11-22,2023-12-01,2016.03,1827,-1,4,509.0
327,Google Ads,2023-11-23,2023-12-02,1319.53,170,101,2,205.0
328,Google Ads,2023-11-24,2023-12-03,4053.64,1458,168,6,
329,SEO,2023-11-25,2023-12-04,3464.18,1687,18,5,575.0
330,SEO,2023-11-26,2023-12-05,2741.88,1111,82,1,374.0
331,Email,2023-11-27,2023-12-06,2999.14,1414,39,3,187.0
332,Email,2023-11-28,2023-12-07,3736.41,1057,34,5,176.0
333,SEO,2023-11-29,2023-12-08,1528.05,974,96,4,176.0
334,Google Ads,2023-11-30,2023-12-09,4983.5,694,21,5,541.0
335,Redes Sociales,2023-12-01,2023-12-10,4886.57,763,199,5,
336,SEO,2023-12-02,2023-12-11,3426.47,909,162,4,344.0
337,Email,2023-12-03,2023-12-12,1397.94,70,-1,5,
338,Google Ads,2023-12-04,2023-12-13,3561.03,291,177,3,481.0
339,SEO,2023-12-05,2023-12-14,824.89,504,83,6,
340,SEO,2023-12-06,2023-12-15,637.94,1012,114,2,241.0
341,Google Ads,2023-12-07,2023-12-16,1659.57,670,183,5,467.0
342,SEO,2023-12-08,2023-12-17,2581.8,352,106,3,183.0
343,Google Ads,2023-12-09,2023-12-18,4407.23,1669,110,2,242.0
344,Redes Sociales,2023-12-10,2023-12-19,3772.26,1668,51,2,451.0
345,Google Ads,2023-12-11,2023-12-20,3842.18,852,185,5,
346,Google Ads,2023-12-12,2023-12-21,2414.72,1013,68,3,251.0
347,Google Ads,2023-12-13,2023-12-22,2056.71,118,170,6,257.0
348,SEO,2023-12-14,2023-12-23,2169.67,1202,68,5,545.0
349,SEO,2023-12-15,2023-12-24,4944.42,245,91,4,402.0
350,Google Ads,2023-12-16,2023-12-25,680.49,189,11,2,549.0
351,SEO,2023-12-17,2023-12-26,4401.64,1517,26,5,323.0
352,Email,2023-12-18,2023-12-27,3104.04,332,85,2,142.0
353,Email,2023-12-19,2023-12-28,2473.77,361,-1,3,363.0
354,SEO,2023-12-20,,3763.66,795,78,1,102.0
355,SEO,2023-12-21,2023-12-30,2690.01,1608,142,5,367.0
356,Google Ads,2023-12-22,2023-12-31,4430.4,1738,189,6,
357,Redes Sociales,2023-12-23,2024-01-01,4553.16,326,139,5,115.0
358,SEO,2023-12-24,2024-01-02,2397.74,110,-1,2,433.0
359,Email,2023-12-25,2024-01-03,1745.73,1392,54,3,563.0
360,Google Ads,2023-12-26,2024-01-04,3165.58,1963,56,4,158.0
361,SEO,2023-12-27,2024-01-05,4605.64,101,165,6,276.0
362,Email,2023-12-28,2024-01-06,1447.98,1929,5,3,162.0
363,Email,2023-12-29,2024-01-07,3303.35,202,185,5,
364,Redes Sociales,2023-12-30,2024-01-08,3342.02,1822,192,4,406.0
365,Google Ads,2023-12-31,2024-01-09,3799.01,1384,-1,3,345.0
366,Google Ads,2024-01-01,2024-01-10,1092.05,1887,8,1,388.0
367,Redes Sociales,2024-01-02,2024-01-11,3721.21,593,149,6,431.0
368,Redes Sociales,2024-01-03,2024-01-12,4590.65,616,136,2,
369,Google Ads,2024-01-04,2024-01-13,1308.57,1937,175,3,354.0
370,Google Ads,2024-01-05,2024-01-14,1568.94,1462,8,3,
371,SEO,2024-01-06,2024-01-15,4871.28,1621,5,1,562.0
372,SEO,2024-01-07,2024-01-16,1314.4,671,75,5,298.0
373,Redes Sociales,2024-01-08,2024-01-17,4344.73,1250,182,6,370.0
374,SEO,2024-01-09,2024-01-18,2715.25,1435,193,6,
375,Email,2024-01-10,2024-01-19,1612.54,363,39,2,163.0
376,SEO,2024-01-11,2024-01-20,4418.37,856,12,3,329.0
377,SEO,2024-01-12,2024-01-21,2503.87,897,156,4,348.0
378,Email,2024-01-13,2024-01-22,2816.68,146,40,3,345.0
379,Redes Sociales,2024-01-14,2024-01-23,2116.55,930,182,2,
380,Email,2024-01-15,2024-01-24,3168.28,1286,127,3,256.0
381,SEO,2024-01-16,2024-01-25,1235.86,878,47,1,
382,Redes Sociales,2024-01-17,2024-01-26,2259.87,186,31,3,187.0
383,SEO,2024-01-18,2024-01-27,4862.36,1079,36,3,412.0
384,Email,2024-01-19,2024-01-28,1661.6,1060,82,4,165.0
385,Email,2024-01-20,2024-01-29,3455.31,158,125,1,119.0
386,SEO,2024-01-21,2024-01-30,1963.36,596,150,1,132.0
387,Google Ads,2024-01-22,2024-01-31,3980.63,1112,160,3,
388,Google Ads,2024-01-23,2024-02-01,1088.93,711,-1,6,172.0
389,Email,2024-01-24,2024-02-02,4864.19,474,20,4,442.0
390,Email,2024-01-25,2024-02-03,2542.05,679,103,3,232.0
