campaign_id,tipo_campaña,fecha_inicio,fecha_fin,presupuesto,clicks,conversiones,channel_id,customer_id,canal,costo_por_click,equipo_responsable,edad,genero,pais,segmento,fecha_registro
91,SEO,2023-04-01,2023-04-10,4742.29,1277,159,1,313.0,Email,0.1,Equipo A,60.0,M,España,Básico,2022-05-11
93,Redes Sociales,2023-04-03,2023-04-12,3234.82,1068,163,3,427.0,,,,,,,,
94,Redes Sociales,2023-04-04,2023-04-13,2807.1,436,-1,3,480.0,,,,36.0,M,Argentina,Premium,2023-04-09
96,Redes Sociales,2023-04-06,2023-04-15,1294.38,147,198,4,338.0,Instagram Ads,500.0,Equipo C,18.0,F,Colombia,Premium,2022-01-23
98,SEO,2023-04-08,2023-04-17,1338.97,1876,19,2,181.0,Facebook Ads,0.5,Equipo B,60.0,F,Colombia,Básico,2022-04-06
99,Redes Sociales,2023-04-09,2023-04-18,4008.13,257,16,6,462.0,Influencers,1.2,Equipo D,63.0,F,México,Premium,2022-04-10
101,Google Ads,2023-04-11,2023-04-20,760.29,1709,160,4,301.0,Instagram Ads,500.0,Equipo C,,,,,
105,Redes Sociales,2023-04-15,2023-04-24,4977.09,71,28,5,501.0,,,,,,,,
106,Redes Sociales,2023-04-16,2023-04-25,1282.53,203,153,2,275.0,Facebook Ads,0.5,Equipo B,55.0,M,Chile,Premium,2022-04-14
109,Redes Sociales,2023-04-19,2023-04-28,3632.09,268,82,6,566.0,Influencers,1.2,Equipo D,50.0,F,Colombia,Básico,2022-08-22
110,Google Ads,2023-04-20,2023-04-29,1192.53,718,-1,2,300.0,Facebook Ads,0.5,Equipo B,68.0,F,México,Premium,2023-03-01
113,SEO,2023-04-23,2023-05-02,1507.18,69,166,4,493.0,Instagram Ads,500.0,Equipo C,57.0,M,México,Básico,2022-06-18
114,Redes Sociales,2023-04-24,2023-05-03,2916.38,602,-1,6,141.0,Influencers,1.2,Equipo D,27.0,F,Chile,Básico,2023-05-10
116,SEO,2023-04-26,2023-05-05,3110.39,197,80,1,492.0,Email,0.1,Equipo A,22.0,M,España,Premium,2023-09-06
117,Email,2023-04-27,2023-05-06,911.69,1181,154,3,540.0,,,,68.0,M,España,Premium,2022-07-30
119,SEO,2023-04-29,2023-05-08,1695.2,645,-1,6,419.0,Influencers,1.2,Equipo D,51.0,M,Argentina,Premium,2023-04-27
121,SEO,2023-05-01,2023-05-10,4499.37,416,26,3,314.0,,,,51.0,M,Colombia,Básico,2023-04-02
122,Email,2023-05-02,2023-05-11,4800.43,1907,131,2,170.0,Facebook Ads,0.5,Equipo B,62.0,M,España,Premium,2022-02-02
124,Google Ads,2023-05-04,2023-05-13,4142.82,1382,-1,6,335.0,Influencers,1.2,Equipo D,51.0,F,Chile,Básico,2022-08-20
125,Email,2023-05-05,2023-05-14,3448.59,851,104,4,380.0,Instagram Ads,500.0,Equipo C,49.0,M,España,Premium,2022-05-10
126,SEO,2023-05-06,2023-05-15,2978.86,967,-1,6,261.0,Influencers,1.2,Equipo D,40.0,F,Colombia,Premium,2022-07-13
127,Redes Sociales,2023-05-07,2023-05-16,891.44,1908,100,4,290.0,Instagram Ads,500.0,Equipo C,49.0,F,México,Básico,2023-07-04
128,Email,2023-05-08,2023-05-17,2338.04,1207,165,4,108.0,Instagram Ads,500.0,Equipo C,37.0,F,Argentina,Básico,2023-05-05
129,SEO,2023-05-09,2023-05-18,2177.1,1792,177,1,159.0,Email,0.1,Equipo A,36.0,F,Chile,Premium,2023-04-25
132,Email,2023-05-12,2023-05-21,2731.44,122,22,2,386.0,Facebook Ads,0.5,Equipo B,,,,,
133,Email,2023-05-13,2023-05-22,864.71,530,-1,3,268.0,,,,,,,,
134,Email,2023-05-14,2023-05-23,1490.82,1425,199,6,161.0,Influencers,1.2,Equipo D,66.0,F,Chile,Básico,2023-12-16
135,Google Ads,2023-05-15,2023-05-24,3574.66,609,155,6,448.0,Influencers,1.2,Equipo D,62.0,F,Chile,Premium,2022-11-30
136,Email,2023-05-16,2023-05-25,842.59,1399,113,4,541.0,Instagram Ads,500.0,Equipo C,61.0,F,Chile,Premium,2023-07-19
137,Email,2023-05-17,2023-05-26,4330.43,794,127,5,113.0,,,,56.0,F,Colombia,Básico,2022-02-11
138,Email,2023-05-18,2023-05-27,2728.16,1516,148,6,263.0,Influencers,1.2,Equipo D,26.0,F,España,Básico,2022-06-09
144,SEO,2023-05-24,2023-06-02,3045.79,1525,85,2,127.0,Facebook Ads,0.5,Equipo B,65.0,M,España,Premium,2022-04-07
146,Google Ads,2023-05-26,2023-06-04,4453.83,644,146,4,307.0,Instagram Ads,500.0,Equipo C,28.0,F,Colombia,Básico,2022-04-16
147,Google Ads,2023-05-27,2023-06-05,4088.42,1227,65,2,569.0,Facebook Ads,0.5,Equipo B,,,,,
149,Email,2023-05-29,2023-06-07,4327.62,870,36,6,525.0,Influencers,1.2,Equipo D,,,,,
150,SEO,2023-05-30,2023-06-08,4402.82,1152,19,4,200.0,Instagram Ads,500.0,Equipo C,26.0,M,Argentina,Básico,2022-09-03
154,Google Ads,2023-06-03,2023-06-12,3560.63,609,58,2,376.0,Facebook Ads,0.5,Equipo B,67.0,M,México,Premium,2022-07-20
155,Email,2023-06-04,2023-06-13,3283.75,966,48,6,164.0,Influencers,1.2,Equipo D,45.0,F,España,Premium,2023-01-16
156,Redes Sociales,2023-06-05,2023-06-14,3887.22,940,102,4,287.0,Instagram Ads,500.0,Equipo C,53.0,F,Colombia,Básico,2023-09-21
157,Google Ads,2023-06-06,2023-06-15,1213.72,1321,9,2,416.0,Facebook Ads,0.5,Equipo B,,,,,
158,Redes Sociales,2023-06-07,2023-06-16,4463.92,1863,113,1,237.0,Email,0.1,Equipo A,63.0,F,Chile,Básico,2022-08-18
159,Email,2023-06-08,2023-06-17,4423.3,917,31,4,442.0,Instagram Ads,500.0,Equipo C,33.0,M,México,Básico,2022-06-11
160,SEO,2023-06-09,2023-06-18,631.61,659,120,6,204.0,Influencers,1.2,Equipo D,,,,,
162,Email,2023-06-11,2023-06-20,1079.91,74,108,3,479.0,,,,,,,,
163,SEO,2023-06-12,2023-06-21,2008.03,333,-1,4,209.0,Instagram Ads,500.0,Equipo C,45.0,M,México,Básico,2023-04-17
165,Redes Sociales,2023-06-14,2023-06-23,1223.42,930,47,2,453.0,Facebook Ads,0.5,Equipo B,,,,,
166,Email,2023-06-15,2023-06-24,4180.85,350,101,6,416.0,Influencers,1.2,Equipo D,,,,,
167,SEO,2023-06-16,2023-06-25,4244.6,1141,35,2,365.0,Facebook Ads,0.5,Equipo B,,,,,
168,Google Ads,2023-06-17,2023-06-26,2783.6,1080,103,6,164.0,Influencers,1.2,Equipo D,45.0,F,España,Premium,2023-01-16
169,Google Ads,2023-06-18,2023-06-27,528.74,866,21,5,432.0,,,,55.0,M,Argentina,Premium,2022-03-02
171,SEO,2023-06-20,2023-06-29,3276.17,1237,-1,3,232.0,,,,32.0,M,Colombia,Premium,2022-05-12
175,SEO,2023-06-24,2023-07-03,3353.03,1493,172,6,595.0,Influencers,1.2,Equipo D,52.0,F,Colombia,Básico,2023-04-17
176,Redes Sociales,2023-06-25,2023-07-04,2929.93,1146,-1,6,468.0,Influencers,1.2,Equipo D,40.0,M,Argentina,Básico,2023-05-08
179,Email,2023-06-28,2023-07-07,3924.63,667,33,2,222.0,Facebook Ads,0.5,Equipo B,30.0,F,Colombia,Premium,2023-05-12
180,Google Ads,2023-06-29,2023-07-08,2935.7,977,74,3,419.0,,,,51.0,M,Argentina,Premium,2023-04-27
182,Google Ads,2023-07-01,2023-07-10,2038.42,311,99,6,594.0,Influencers,1.2,Equipo D,66.0,M,Chile,Premium,2022-03-17
186,Email,2023-07-05,2023-07-14,4717.53,891,73,3,414.0,,,,67.0,M,España,Básico,2022-01-17
188,Google Ads,2023-07-07,2023-07-16,805.27,1868,76,4,578.0,Instagram Ads,500.0,Equipo C,,,,,
189,Google Ads,2023-07-08,2023-07-17,1854.34,103,133,5,119.0,,,,43.0,F,Colombia,Premium,2023-05-17
191,Google Ads,2023-07-10,2023-07-19,803.08,1492,91,5,229.0,,,,,,,,
193,Email,2023-07-12,2023-07-21,2056.47,1580,79,4,231.0,Instagram Ads,500.0,Equipo C,43.0,M,España,Básico,2023-12-29
194,Google Ads,2023-07-13,2023-07-22,3294.12,1414,171,2,455.0,Facebook Ads,0.5,Equipo B,53.0,M,México,Premium,2022-11-29
195,Google Ads,2023-07-14,2023-07-23,705.84,1200,58,1,153.0,Email,0.1,Equipo A,60.0,F,Argentina,Básico,2023-10-12
196,Redes Sociales,2023-07-15,2023-07-24,4421.92,1482,92,4,486.0,Instagram Ads,500.0,Equipo C,34.0,F,Argentina,Premium,2022-06-22
197,Redes Sociales,2023-07-16,2023-07-25,4880.7,1997,161,6,364.0,Influencers,1.2,Equipo D,24.0,M,Colombia,Premium,2023-09-14
198,SEO,2023-07-17,2023-07-26,4859.95,416,58,3,314.0,,,,51.0,M,Colombia,Básico,2023-04-02
199,Email,2023-07-18,2023-07-27,3873.43,1344,20,5,559.0,,,,66.0,F,Colombia,Premium,2023-11-02
200,Google Ads,2023-07-19,2023-07-28,1085.39,693,103,2,557.0,Facebook Ads,0.5,Equipo B,43.0,M,México,Premium,2023-09-20
201,Google Ads,2023-07-20,2023-07-29,3912.18,1678,24,1,142.0,Email,0.1,Equipo A,,,,,
203,Google Ads,2023-07-22,2023-07-31,599.56,122,199,5,377.0,,,,,,,,
204,Email,2023-07-23,2023-08-01,1956.25,1996,197,3,229.0,,,,,,,,
205,SEO,2023-07-24,2023-08-02,2698.89,1995,131,5,449.0,,,,35.0,F,Chile,Premium,2023-01-15
207,SEO,2023-07-26,2023-08-04,3574.83,1321,-1,4,205.0,Instagram Ads,500.0,Equipo C,,,,,
208,SEO,2023-07-27,2023-08-05,2506.56,909,115,3,100.0,,,,,,,,
210,Email,2023-07-29,2023-08-07,4987.06,92,85,3,531.0,,,,60.0,F,México,Básico,2023-12-01
213,Email,2023-08-01,2023-08-10,1236.31,219,88,5,152.0,,,,32.0,M,Chile,Premium,2023-04-26
215,Google Ads,2023-08-03,2023-08-12,3621.57,1566,12,3,429.0,,,,46.0,F,Chile,Premium,2023-04-16
217,SEO,2023-08-05,2023-08-14,870.71,88,116,1,424.0,Email,0.1,Equipo A,32.0,F,Argentina,Básico,2022-08-08
218,Email,2023-08-06,2023-08-15,3562.25,418,-1,5,213.0,,,,68.0,M,México,Premium,2023-07-02
219,SEO,2023-08-07,2023-08-16,3445.3,806,165,4,246.0,Instagram Ads,500.0,Equipo C,54.0,F,México,Básico,2022-02-26
220,Google Ads,2023-08-08,2023-08-17,1729.67,200,135,6,265.0,Influencers,1.2,Equipo D,,,,,
221,Google Ads,2023-08-09,2023-08-18,4778.89,1184,192,6,478.0,Influencers,1.2,Equipo D,42.0,F,Chile,Premium,2022-05-18
222,Google Ads,2023-08-10,2023-08-19,1179.76,1553,167,5,238.0,,,,,,,,
224,SEO,2023-08-12,2023-08-21,4746.27,1120,113,6,375.0,Influencers,1.2,Equipo D,60.0,M,Chile,Premium,2023-12-12
226,Redes Sociales,2023-08-14,2023-08-23,3373.37,1648,-1,4,453.0,Instagram Ads,500.0,Equipo C,,,,,
227,Email,2023-08-15,2023-08-24,2289.17,786,171,1,253.0,Email,0.1,Equipo A,50.0,M,Chile,Premium,2023-05-08
229,Email,2023-08-17,2023-08-26,4927.9,118,23,1,214.0,Email,0.1,Equipo A,43.0,M,México,Premium,2022-01-06
231,Redes Sociales,2023-08-19,2023-08-28,4523.45,993,177,2,167.0,Facebook Ads,0.5,Equipo B,54.0,M,Colombia,Premium,2022-06-25
232,SEO,2023-08-20,2023-08-29,1534.8,851,175,1,544.0,Email,0.1,Equipo A,48.0,M,México,Premium,2023-03-25
233,SEO,2023-08-21,2023-08-30,1458.97,345,145,5,544.0,,,,48.0,M,México,Premium,2023-03-25
234,SEO,2023-08-22,2023-08-31,640.1,252,145,4,425.0,Instagram Ads,500.0,Equipo C,,,,,
235,SEO,2023-08-23,2023-09-01,3432.5,110,192,2,458.0,Facebook Ads,0.5,Equipo B,45.0,M,Chile,Básico,2023-02-24
236,SEO,2023-08-24,2023-09-02,2158.37,995,189,4,244.0,Instagram Ads,500.0,Equipo C,22.0,F,Colombia,Básico,2023-11-22
237,Redes Sociales,2023-08-25,2023-09-03,4389.61,1012,-1,4,374.0,Instagram Ads,500.0,Equipo C,44.0,F,Chile,Premium,2022-02-16
239,Google Ads,2023-08-27,2023-09-05,4856.87,1387,115,3,278.0,,,,35.0,M,México,Básico,2023-06-09
240,SEO,2023-08-28,2023-09-06,1334.86,1234,185,2,576.0,Facebook Ads,0.5,Equipo B,67.0,F,Colombia,Premium,2022-04-20
241,Redes Sociales,2023-08-29,2023-09-07,4408.8,380,113,6,513.0,Influencers,1.2,Equipo D,44.0,M,Colombia,Premium,2022-12-24
242,Google Ads,2023-08-30,2023-09-08,3994.69,1601,90,3,252.0,,,,45.0,F,México,Básico,2023-08-19
243,SEO,2023-08-31,2023-09-09,3969.15,387,47,3,203.0,,,,34.0,M,Argentina,Premium,2022-07-21
244,Email,2023-09-01,2023-09-10,4301.52,1679,46,3,174.0,,,,,,,,
245,Google Ads,2023-09-02,2023-09-11,3924.61,1377,94,4,227.0,Instagram Ads,500.0,Equipo C,46.0,M,Colombia,Premium,2022-08-14
247,Email,2023-09-04,2023-09-13,1090.6,1723,30,4,444.0,Instagram Ads,500.0,Equipo C,45.0,F,Argentina,Premium,2023-03-25
249,Email,2023-09-06,2023-09-15,4643.82,1623,47,4,258.0,Instagram Ads,500.0,Equipo C,57.0,M,Argentina,Básico,2022-12-15
251,Redes Sociales,2023-09-08,2023-09-17,4084.42,324,160,1,525.0,Email,0.1,Equipo A,,,,,
252,Email,2023-09-09,2023-09-18,2666.85,1237,141,1,122.0,Email,0.1,Equipo A,,,,,
253,SEO,2023-09-10,2023-09-19,1027.89,1516,24,5,146.0,,,,,,,,
255,Email,2023-09-12,2023-09-21,3585.04,638,43,4,243.0,Instagram Ads,500.0,Equipo C,66.0,M,Chile,Premium,2022-09-08
258,Redes Sociales,2023-09-15,2023-09-24,2712.18,436,187,1,518.0,Email,0.1,Equipo A,27.0,M,México,Básico,2022-02-06
259,SEO,2023-09-16,2023-09-25,788.94,919,15,1,184.0,Email,0.1,Equipo A,62.0,M,España,Básico,2022-06-04
260,Google Ads,2023-09-17,2023-09-26,3118.87,882,158,6,515.0,Influencers,1.2,Equipo D,60.0,M,México,Premium,2022-11-12
261,Email,2023-09-18,2023-09-27,1710.47,1064,46,5,581.0,,,,,,,,
262,Redes Sociales,2023-09-19,2023-09-28,4089.02,1961,159,3,555.0,,,,,,,,
263,Email,2023-09-20,2023-09-29,1896.63,652,15,3,396.0,,,,66.0,M,España,Premium,2023-01-20
264,Email,2023-09-21,2023-09-30,2548.49,1823,42,5,211.0,,,,31.0,M,México,Premium,2022-09-16
265,Google Ads,2023-09-22,2023-10-01,552.29,1849,102,2,329.0,Facebook Ads,0.5,Equipo B,45.0,M,Argentina,Básico,2022-03-08
266,Redes Sociales,2023-09-23,2023-10-02,826.01,740,-1,3,195.0,,,,54.0,M,España,Premium,2022-05-23
267,SEO,2023-09-24,2023-10-03,2266.22,543,23,6,477.0,Influencers,1.2,Equipo D,44.0,F,México,Básico,2022-09-07
268,SEO,2023-09-25,2023-10-04,2659.72,539,196,5,255.0,,,,60.0,M,México,Premium,2023-10-01
269,Google Ads,2023-09-26,2023-10-05,3200.09,770,138,2,520.0,Facebook Ads,0.5,Equipo B,,,,,
270,Google Ads,2023-09-27,2023-10-06,1812.48,1146,178,2,204.0,Facebook Ads,0.5,Equipo B,,,,,
271,Redes Sociales,2023-09-28,2023-10-07,3627.42,558,120,4,429.0,Instagram Ads,500.0,Equipo C,46.0,F,Chile,Premium,2023-04-16
272,SEO,2023-09-29,2023-10-08,4370.55,439,117,2,538.0,Facebook Ads,0.5,Equipo B,,,,,
273,SEO,2023-09-30,2023-10-09,4009.33,1692,174,3,231.0,,,,43.0,M,España,Básico,2023-12-29
275,Email,2023-10-02,2023-10-11,2662.28,344,103,5,237.0,,,,63.0,F,Chile,Básico,2022-08-18
276,SEO,2023-10-03,2023-10-12,972.19,1442,76,5,369.0,,,,67.0,M,España,Premium,2023-02-03
278,Redes Sociales,2023-10-05,2023-10-14,4939.98,914,56,6,495.0,Influencers,1.2,Equipo D,65.0,M,Colombia,Premium,2023-07-15
280,Redes Sociales,2023-10-07,2023-10-16,2745.0,598,179,4,563.0,Instagram Ads,500.0,Equipo C,53.0,F,Argentina,Premium,2023-06-06
282,SEO,2023-10-09,2023-10-18,3661.09,1923,-1,2,430.0,Facebook Ads,0.5,Equipo B,65.0,M,Chile,Básico,2022-12-13
283,Redes Sociales,2023-10-10,2023-10-19,3018.42,617,15,2,352.0,Facebook Ads,0.5,Equipo B,51.0,F,México,Básico,2022-01-08
284,Google Ads,2023-10-11,2023-10-20,543.97,1260,107,1,384.0,Email,0.1,Equipo A,51.0,F,Argentina,Premium,2022-09-20
285,Redes Sociales,2023-10-12,2023-10-21,1969.08,902,-1,4,373.0,Instagram Ads,500.0,Equipo C,18.0,F,Argentina,Premium,2023-08-05
286,Google Ads,2023-10-13,2023-10-22,2829.7,819,72,1,119.0,Email,0.1,Equipo A,43.0,F,Colombia,Premium,2023-05-17
287,Email,2023-10-14,2023-10-23,895.4,494,157,5,338.0,,,,18.0,F,Colombia,Premium,2022-01-23
288,Email,2023-10-15,2023-10-24,2077.82,1643,144,3,369.0,,,,67.0,M,España,Premium,2023-02-03
289,Email,2023-10-16,2023-10-25,649.41,412,158,6,517.0,Influencers,1.2,Equipo D,,,,,
290,SEO,2023-10-17,2023-10-26,853.6,172,106,5,409.0,,,,19.0,M,Argentina,Premium,2023-04-08
291,Email,2023-10-18,2023-10-27,2286.15,1261,-1,3,130.0,,,,,,,,
292,Google Ads,2023-10-19,2023-10-28,1097.22,791,-1,6,203.0,Influencers,1.2,Equipo D,34.0,M,Argentina,Premium,2022-07-21
293,Email,2023-10-20,2023-10-29,3053.93,729,175,6,285.0,Influencers,1.2,Equipo D,,,,,
294,Redes Sociales,2023-10-21,2023-10-30,3602.59,469,55,6,227.0,Influencers,1.2,Equipo D,46.0,M,Colombia,Premium,2022-08-14
295,Redes Sociales,2023-10-22,2023-10-31,4102.64,1699,121,2,309.0,Facebook Ads,0.5,Equipo B,32.0,F,Chile,Premium,2022-05-17
296,SEO,2023-10-23,2023-11-01,1400.68,1325,169,6,513.0,Influencers,1.2,Equipo D,44.0,M,Colombia,Premium,2022-12-24
297,Redes Sociales,2023-10-24,2023-11-02,1253.67,1692,50,4,380.0,Instagram Ads,500.0,Equipo C,49.0,M,España,Premium,2022-05-10
